# q/kF, int w**0 * S(q; w) dw
5.000000000000000278e-02,2.938205140806195745e-04
5.791583166332665844e-02,3.937121482036425014e-04
6.583166332665331411e-02,5.181590927044819189e-04
7.374749498997995589e-02,6.777054861864744524e-04
8.166332665330661156e-02,8.797579055431557597e-04
8.957915831663326722e-02,1.111659872369200617e-03
9.749498997995992289e-02,1.324955969436849646e-03
1.054108216432865924e-01,1.470421790292082177e-03
1.133266533066132342e-01,1.572787482814935571e-03
1.212424849699398899e-01,1.727324009047957612e-03
1.291583166332665455e-01,2.034770600695894483e-03
1.370741482965932012e-01,2.517112518618629547e-03
1.449899799599198569e-01,2.945013304217534642e-03
1.529058116232465125e-01,3.034030520656398697e-03
1.608216432865731682e-01,3.065154003745114084e-03
1.687374749498998239e-01,3.481622244933708921e-03
1.766533066132264795e-01,4.289541054318607785e-03
1.845691382765531352e-01,4.639696310709290339e-03
1.924849699398797909e-01,4.458689200183747238e-03
2.004008016032064743e-01,4.910464035754999457e-03
2.083166332665331022e-01,6.048036610384016458e-03
2.162324649298597579e-01,6.126430280592146289e-03
2.241482965931864135e-01,5.947759919879704038e-03
2.320641282565130414e-01,7.200798379604543553e-03
2.399799599198396693e-01,7.846880156991389160e-03
2.478957915831663250e-01,7.299361421626585078e-03
2.558116232464929807e-01,8.729288215055110850e-03
2.637274549098196363e-01,9.384854872542671561e-03
2.716432865731462920e-01,8.787920531585842465e-03
2.795591182364729477e-01,1.087006841396638730e-02
2.874749498997996033e-01,1.046588785725543341e-02
2.953907815631262590e-01,1.093973548643744319e-02
3.033066132264529147e-01,1.281955663138718143e-02
3.112224448897795148e-01,1.158017238599571598e-02
3.191382765531062260e-01,1.437335592173001435e-02
3.270541082164328817e-01,1.304721119906358112e-02
3.349699398797595373e-01,1.530702892525223797e-02
3.428857715430861930e-01,1.485425697586970073e-02
3.508016032064128487e-01,1.633573469707023940e-02
3.587174348697395043e-01,1.658068026959180416e-02
3.666332665330662155e-01,1.776506027517383776e-02
3.745490981963928157e-01,1.801412194743916978e-02
3.824649298597194713e-01,1.971869058031536573e-02
3.903807615230461270e-01,1.909584131901726281e-02
3.982965931863727826e-01,2.220953437279416312e-02
4.062124248496994383e-01,2.009425604373545407e-02
4.141282565130260940e-01,2.455857455166492523e-02
4.220440881763527496e-01,2.196469433690071901e-02
4.299599198396793498e-01,2.509893650608193208e-02
4.378757515030059499e-01,2.591661047450781116e-02
4.457915831663326611e-01,2.453051743137814669e-02
4.537074148296593168e-01,2.953746771134658708e-02
4.616232464929859725e-01,2.736221906505703974e-02
4.695390781563126281e-01,2.802348502402866176e-02
4.774549098196392838e-01,3.292801355868015672e-02
4.853707414829659395e-01,3.036760610489177767e-02
4.932865731462926506e-01,3.066592240184387239e-02
5.012024048096193063e-01,3.603600233743430720e-02
5.091182364729459620e-01,3.541162952411916476e-02
5.170340681362726176e-01,3.316685298637969681e-02
5.249498997995992733e-01,3.668035778452261725e-02
5.328657314629259290e-01,4.134350233104024802e-02
5.407815631262525846e-01,3.996550814043639543e-02
5.486973947895792403e-01,3.781034615498373580e-02
5.566132264529058959e-01,3.990765041849808625e-02
5.645290581162325516e-01,4.495867043519894551e-02
5.724448897795592073e-01,4.801150217350998173e-02
5.803607214428858629e-01,4.691377801802924102e-02
5.882765531062125186e-01,4.497748308587531246e-02
5.961923847695391743e-01,4.494305341957156863e-02
6.041082164328658299e-01,4.719727306503359449e-02
6.120240480961924856e-01,5.092990486245027593e-02
6.199398797595191413e-01,5.488865100344978570e-02
6.278557114228457969e-01,5.802126182906339885e-02
6.357715430861723416e-01,5.998618110085367910e-02
6.436873747494991083e-01,6.108709293028782156e-02
6.516032064128257639e-01,6.183151473809160581e-02
6.595190380761524196e-01,6.261691153103000895e-02
6.674348697394790753e-01,6.366745972024452638e-02
6.753507014028057309e-01,6.508839491623233386e-02
6.832665330661323866e-01,6.692612621456239808e-02
