# q/kF, int w**0 * S(q; w) dw
1.000000000000000021e-02,4.948802703597592665e-07
2.000000000000000042e-02,1.198960006609513067e-05
2.999999999999999889e-02,5.354700489919666465e-04
4.000000000000000083e-02,3.430213741359723601e-04
5.000000000000000278e-02,2.839891756315582414e-04
6.000000000000000472e-02,2.372602505183900659e-02
6.999999999999999278e-02,1.045566065404697226e-03
8.000000000000000167e-02,1.168851958378056867e-02
8.999999999999999667e-02,5.562814660961429812e-03
9.999999999999999167e-02,4.134986145143694156e-03
1.100000000000000006e-01,6.900893180872266774e-03
1.199999999999999956e-01,1.177236128663246631e-02
1.300000000000000044e-01,1.516560787602257501e-02
1.400000000000000133e-01,1.582667052415570944e-02
1.500000000000000222e-01,1.685448103007252882e-02
1.600000000000000033e-01,2.410589090313193517e-02
1.700000000000000122e-01,3.630374303514503909e-02
1.800000000000000211e-01,2.911464813389946782e-02
1.900000000000000300e-01,4.014776821973736753e-02
2.000000000000000111e-01,3.758171036932229231e-02
2.100000000000000200e-01,4.751526913039544331e-02
2.200000000000000011e-01,4.937971464879126193e-02
2.300000000000000100e-01,5.160922315994743992e-02
2.400000000000000189e-01,5.628979733660705725e-02
2.500000000000000000e-01,6.132055349849826337e-02
2.600000000000000089e-01,6.624175860047644415e-02
2.700000000000000178e-01,7.149790571700925801e-02
2.800000000000000266e-01,7.735944429885738272e-02
2.900000000000000355e-01,8.260252379013929835e-02
2.999999999999999889e-01,8.732108861649594267e-02
3.099999999999999978e-01,9.333092230133564760e-02
3.200000000000000067e-01,9.849807929527744366e-02
3.300000000000000155e-01,1.043535389882846998e-01
3.400000000000000244e-01,1.102671975706804863e-01
3.500000000000000333e-01,1.161331205788376369e-01
3.600000000000000422e-01,1.221296767364204033e-01
3.699999999999999400e-01,1.282639917557334697e-01
3.800000000000000600e-01,1.344865090583420020e-01
3.900000000000000133e-01,1.407504897293533896e-01
4.000000000000000222e-01,1.471709133584939710e-01
4.100000000000000311e-01,1.536769393206147694e-01
4.200000000000000400e-01,1.602650462120061570e-01
4.299999999999999933e-01,1.668988210491750557e-01
4.400000000000000022e-01,1.736314227641764241e-01
4.500000000000000111e-01,1.804372918904610101e-01
4.600000000000000200e-01,1.873254962503351218e-01
4.700000000000000289e-01,1.942895850644095479e-01
4.800000000000000377e-01,2.012586171508354282e-01
4.899999999999999911e-01,2.083524898982081486e-01
5.000000000000000000e-01,2.154897061249685664e-01
5.100000000000000089e-01,2.226445409374347428e-01
5.200000000000000178e-01,2.297811172066781815e-01
5.300000000000000266e-01,2.372451147744347177e-01
5.400000000000000355e-01,2.447662707884815936e-01
5.500000000000000444e-01,2.487255846852570174e-01
5.600000000000000533e-01,2.595174299329764400e-01
5.700000000000000622e-01,2.666314618976628470e-01
5.800000000000000711e-01,2.740020564664052416e-01
5.899999999999999689e-01,2.814297524787570670e-01
5.999999999999999778e-01,2.889820153818770665e-01
6.099999999999999867e-01,2.965149479759256468e-01
6.199999999999999956e-01,3.040371515896194143e-01
6.300000000000000044e-01,3.116158304310880367e-01
6.400000000000000133e-01,3.191916236806098817e-01
6.500000000000000222e-01,3.267847913747105038e-01
6.600000000000000311e-01,3.343867722399384568e-01
6.700000000000000400e-01,3.420033662467520386e-01
6.800000000000000488e-01,3.496125208738382617e-01
6.900000000000000577e-01,3.572461170047768197e-01
7.000000000000000666e-01,3.648731207271029842e-01
7.100000000000000755e-01,3.724959987088067859e-01
7.199999999999999734e-01,3.801228082124410990e-01
7.299999999999999822e-01,3.877493493621724241e-01
7.399999999999998801e-01,3.953685456694858158e-01
7.500000000000000000e-01,4.029796025495717693e-01
7.600000000000001199e-01,4.105818205378454211e-01
7.700000000000000178e-01,4.181741667749754865e-01
7.800000000000000266e-01,4.257545717255115658e-01
7.900000000000000355e-01,4.333221218300579158e-01
8.000000000000000444e-01,4.408746717506518698e-01
8.100000000000000533e-01,4.484106437331515371e-01
8.200000000000000622e-01,4.559285442837286983e-01
8.300000000000000711e-01,4.634264869508200047e-01
8.400000000000000799e-01,4.709027051094863414e-01
8.499999999999999778e-01,4.783561105224042320e-01
8.599999999999999867e-01,4.857905245534425154e-01
8.699999999999999956e-01,4.931986315247311459e-01
8.800000000000000044e-01,5.005787003240673716e-01
8.900000000000000133e-01,5.079308729180955773e-01
9.000000000000000222e-01,5.152590774804844953e-01
9.100000000000000311e-01,5.225543043318197078e-01
9.200000000000000400e-01,5.298186749476038182e-01
9.300000000000000488e-01,5.370540188969682438e-01
9.400000000000000577e-01,5.442525042293542281e-01
9.500000000000000666e-01,5.514217184875651601e-01
9.600000000000000755e-01,5.585523514396533162e-01
9.699999999999999734e-01,5.656503912764548891e-01
9.799999999999999822e-01,5.727084140123002154e-01
9.899999999999998801e-01,5.797321804881001572e-01
1.000000000000000000e+00,5.867130620185150303e-01
1.010000000000000009e+00,5.936593931525377954e-01
1.020000000000000018e+00,6.005624485026538339e-01
1.030000000000000027e+00,6.074240590692941977e-01
1.040000000000000036e+00,6.142459039133516541e-01
1.050000000000000044e+00,6.210227965396507566e-01
1.060000000000000053e+00,6.277559078453928132e-01
1.070000000000000062e+00,6.344471372675721810e-01
1.080000000000000071e+00,6.410921965874665229e-01
1.090000000000000080e+00,6.476899933488864392e-01
1.100000000000000089e+00,6.542409549280369108e-01
1.110000000000000098e+00,6.607473632539008213e-01
1.120000000000000107e+00,6.672051374713428018e-01
1.130000000000000115e+00,6.736139082763041852e-01
1.140000000000000124e+00,6.799731210018883365e-01
1.150000000000000133e+00,6.862822408127312590e-01
1.160000000000000142e+00,6.925407352497723323e-01
1.169999999999999929e+00,6.987480668944882067e-01
1.179999999999999938e+00,7.049036979863585461e-01
1.189999999999999947e+00,7.110071020847277268e-01
1.199999999999999956e+00,7.170577882948075965e-01
1.209999999999999964e+00,7.230547603189605432e-01
1.219999999999999973e+00,7.289977288715823178e-01
1.229999999999999982e+00,7.348860321070204149e-01
1.239999999999999991e+00,7.407188882289023057e-01
1.249999999999999778e+00,7.464956674373707246e-01
1.260000000000000009e+00,7.522158399102880644e-01
1.270000000000000018e+00,7.578785070892357645e-01
1.280000000000000027e+00,7.634856349873390124e-01
1.290000000000000036e+00,7.690349523932265008e-01
1.300000000000000044e+00,7.745250054025506481e-01
1.310000000000000053e+00,7.799550165945635660e-01
