# q/kF, int w**0 * S(q; w) dw
5.000000000000000278e-02,1.871021520470011546e-04
5.791583166332665150e-02,3.905915514034016996e-04
6.583166332665331411e-02,7.713325372725296416e-04
7.374749498997995589e-02,1.417029228087243959e-03
8.166332665330661156e-02,2.289831385247731704e-03
8.957915831663328110e-02,3.059715923390078120e-03
9.749498997995992289e-02,3.412184240910300353e-03
1.054108216432865786e-01,3.447403256905365830e-03
1.133266533066132342e-01,3.414815589475405418e-03
1.212424849699398899e-01,3.459395128180955525e-03
1.291583166332665455e-01,3.636565086919185848e-03
1.370741482965932012e-01,3.964583556142999531e-03
1.449899799599198569e-01,4.443309882740425348e-03
1.529058116232465125e-01,5.051895315280501182e-03
1.608216432865731682e-01,5.744597541850049796e-03
1.687374749498998239e-01,6.461577982576812915e-03
1.766533066132264795e-01,7.156580721754179052e-03
1.845691382765531630e-01,7.819450042105637044e-03
1.924849699398797909e-01,8.472343429344164623e-03
2.004008016032064465e-01,9.146884499551822742e-03
2.083166332665331022e-01,9.864022708210747059e-03
2.162324649298597301e-01,1.062781678995599124e-02
2.241482965931864413e-01,1.143092679743502003e-02
2.320641282565130692e-01,1.226410764889444491e-02
2.399799599198396971e-01,1.312261517741934030e-02
2.478957915831663250e-01,1.400682687772253701e-02
2.558116232464929807e-01,1.491924420547221034e-02
2.637274549098196363e-01,1.586165292549249553e-02
2.716432865731462920e-01,1.683434914607432817e-02
2.795591182364729477e-01,1.783687982887612392e-02
2.874749498997996033e-01,1.886889930608373275e-02
2.953907815631262590e-01,1.993041822842381294e-02
3.033066132264529147e-01,2.102161687139825902e-02
3.112224448897795703e-01,2.214264250738793086e-02
3.191382765531062260e-01,2.329357199533085149e-02
3.270541082164328817e-01,2.447446048970086316e-02
3.349699398797595373e-01,2.568537863746259836e-02
3.428857715430861930e-01,2.692641065892100935e-02
3.508016032064128487e-01,2.819764324854317702e-02
3.587174348697395043e-01,2.949916345707330467e-02
3.666332665330661600e-01,3.083105737066657928e-02
3.745490981963928157e-01,3.219341482988515718e-02
3.824649298597195268e-01,3.358632893138303183e-02
