# kF r, W(r)
1.761946873192783643e-10,8.439024065159581602e+07
1.770896784488706071e-10,9.507948952619376779e+07
1.779892157377950522e-10,1.026465278468489647e+08
1.788933222785317008e-10,1.068612301784303784e+08
1.798020212808599607e-10,1.076013449156162739e+08
1.807153360724547853e-10,1.048599816720100045e+08
1.816332900994853966e-10,9.874574470398472250e+07
1.825559069272163360e-10,8.948257404098133743e+07
1.834832102406156483e-10,7.740203120920340717e+07
1.844152238449582587e-10,6.293521940900551528e+07
1.853519716664400507e-10,4.659748939211767912e+07
1.862934777527915309e-10,2.897327212518983707e+07
1.872397662738949055e-10,1.069460305484528840e+07
1.881908615224048797e-10,-7.579187250468093902e+06
1.891467879143718605e-10,-2.518668139576129243e+07
1.901075699898692181e-10,-4.148693538981300592e+07
1.910732324136229771e-10,-5.588517307788965106e+07
1.920437999756441964e-10,-6.785409771120509505e+07
1.930192975918687931e-10,-7.695644295138347149e+07
1.939997503047919900e-10,-8.286140843718414009e+07
1.949851832841148866e-10,-8.536058734695219994e+07
1.959756218273892724e-10,-8.437633800184555352e+07
1.969710913606675580e-10,-7.996833859836320579e+07
1.979716174391551362e-10,-7.233171825350762904e+07
1.989772257478664915e-10,-6.179275845324914902e+07
1.999879421022847990e-10,-4.879609764308698475e+07
2.010037924490242895e-10,-3.388976329291874915e+07
2.020248028664958709e-10,-1.770254291358277947e+07
2.030509995655796007e-10,-9.203549781513741473e+05
2.040824088902927891e-10,1.574332693094818667e+07
2.051190573184695539e-10,3.157607343850432336e+07
2.061609714624396516e-10,4.589864567485193163e+07
2.072081780697118572e-10,5.809365654907101393e+07
2.082607040236602146e-10,6.763503901705074310e+07
2.093185763442146548e-10,7.411139700263075531e+07
2.103818221885543018e-10,7.724753959038306773e+07
2.114504688518039080e-10,7.691762890475516021e+07
2.125245437677379650e-10,7.315450085953031480e+07
2.136040745094798525e-10,6.614917787143094838e+07
2.146890887902131105e-10,5.624560356438948214e+07
2.157796144638918835e-10,4.392537880599837750e+07
2.168756795259562511e-10,2.978812604147667065e+07
2.179773121140506344e-10,1.452308549732053839e+07
2.190845405087463122e-10,-1.121832246901287697e+06
2.201973931342673499e-10,-1.637718390162275545e+07
2.213158985592203275e-10,-3.048864398389900476e+07
2.224400854973267306e-10,-4.275628438490499556e+07
2.235699828081638458e-10,-5.256963469159286469e+07
2.247056194979002020e-10,-5.944144968104189634e+07
2.258470247200435739e-10,-6.303354400059326738e+07
2.269942277761888570e-10,-6.317783735802048445e+07
2.281472581167699745e-10,-5.988658621863017231e+07
2.293061453418160241e-10,-5.335555471616739035e+07
2.304709192017113017e-10,-4.395506483927014470e+07
2.316416095979587375e-10,-3.221357475897572562e+07
2.328182465839477519e-10,-1.878988783934469894e+07
2.340008603657248525e-10,-4.439635205539860763e+06
2.351894813027726048e-10,1.002672517702939920e+07
2.363841399087834861e-10,2.378790007843789458e+07
2.375848668524471284e-10,3.605963263181998581e+07
2.387916929582364506e-10,4.613950056129311025e+07
2.400046492071991148e-10,5.345015995119053125e+07
2.412237667377526539e-10,5.757419794914714247e+07
2.424490768464842519e-10,5.828237696211139858e+07
2.436806109889537810e-10,5.554920077459850907e+07
2.449184007805013369e-10,4.955848113153193146e+07
2.461624779970583409e-10,4.069416999352756888e+07
2.474128745759663969e-10,2.952049930996570736e+07
2.486696226167921682e-10,1.674835197760469653e+07
2.499327543821545575e-10,3.193422372229652479e+06
2.512023022985525084e-10,-1.027529709570495971e+07
2.524782989571972004e-10,-2.278988014468140900e+07
2.537607771148487941e-10,-3.354099410766876861e+07
2.550497696946573118e-10,-4.183115446047063172e+07
2.563453097870076541e-10,-4.712368508091230690e+07
2.576474306503683911e-10,-4.908026851199787110e+07
2.589561657121495997e-10,-4.758773004881101847e+07
2.602715485695544467e-10,-4.276825485379029065e+07
2.615936129904463320e-10,-3.497527066645883769e+07
2.629223929142142233e-10,-2.477128657981701940e+07
2.642579224526445561e-10,-1.289207548520349339e+07
2.656002358907961839e-10,-1.958758403732574952e+05
2.669493676878810671e-10,1.239586104325488023e+07
2.683053524781487359e-10,2.396547147675834596e+07
2.696682250717753542e-10,3.366584937875372171e+07
2.710380204557563512e-10,4.078524490566299111e+07
2.724147737948089269e-10,4.480191155502279848e+07
2.737985204322681472e-10,4.542725715480303764e+07
2.751892958909987038e-10,4.263062482387196273e+07
2.765871358743057951e-10,3.664623267138580233e+07
2.779920762668515392e-10,2.795802591128012910e+07
2.794041531355763492e-10,1.726589490705918521e+07
2.808234027306248070e-10,5.432311245349527337e+06
2.822498614862760352e-10,-6.584029836360741407e+06
2.836835660218792891e-10,-1.780551792972672731e+07
2.851245531427928592e-10,-2.731499924163194373e+07
2.865728598413333123e-10,-3.433351557409214973e+07
2.880285232977183743e-10,-3.828698285769538581e+07
2.894915808810261488e-10,-3.885852558933091164e+07
2.909620701501528899e-10,-3.601871147438424826e+07
2.924400288547778041e-10,-3.003299368601755053e+07
2.939254949363313173e-10,-2.144222208657890186e+07
2.954185065289699588e-10,-1.101964481420265511e+07
2.969191019605547091e-10,2.951949497831647168e+05
2.984273197536352417e-10,1.147792859374994971e+07
2.999431986264373177e-10,2.151184824244875461e+07
3.014667774938621758e-10,2.948075599777783826e+07
3.029980954684776491e-10,3.465602022873318195e+07
3.045371918615273776e-10,3.656699541227452457e+07
3.060841061839387793e-10,3.504994122600820661e+07
3.076388781473373804e-10,3.026760256662787497e+07
3.092015476650660051e-10,2.269886815019777790e+07
3.107721548532099114e-10,1.309614455974706262e+07
3.123507400316261133e-10,2.415811731273927260e+06
3.139373437249774087e-10,-8.274498687416312285e+06
3.155320066637779871e-10,-1.790103580657867715e+07
3.171347697854309212e-10,-2.549338954578346387e+07
3.187456742352847866e-10,-3.028499580101648718e+07
3.203647613676881101e-10,-3.179605372427660227e+07
3.219920727470514182e-10,-2.988742081509672105e+07
3.236276501489138346e-10,-2.478081948447633907e+07
3.252715355610159853e-10,-1.703995759319502115e+07
3.269237711843774530e-10,-7.515244753476154990e+06
3.285843994343805902e-10,2.745119909792921506e+06
3.302534629418574868e-10,1.260709761821180582e+07
3.319310045541904818e-10,2.097604983543070778e+07
3.336170673364031112e-10,2.691972741766398028e+07
3.353116945722719939e-10,2.977680510069550201e+07
3.370149297654360291e-10,2.923613582903928682e+07
3.387268166405134005e-10,2.537830778732610494e+07
3.404473991442236983e-10,1.867151895536629856e+07
3.421767214465170208e-10,9.922408946520946920e+06
3.439148279417069019e-10,1.844153221065296384e+05
