# kF r, W(r)
1.891467879143718605e-10,-4.507431117722653784e+06
1.901075699898692181e-10,-6.247457881895368919e+06
1.910732324136229771e-10,-7.722494517949547619e+06
1.920437999756441964e-10,-8.879165970992201939e+06
1.930192975918687931e-10,-9.676052142936069518e+06
1.939997503047919900e-10,-1.008498739646165632e+07
1.949851832841148866e-10,-1.009277546151324175e+07
1.959756218273892724e-10,-9.701478454425578937e+06
1.969710913606675580e-10,-8.928991635254597291e+06
1.979716174391551362e-10,-7.808133081969560124e+06
1.989772257478664915e-10,-6.385975408335068263e+06
1.999879421022847990e-10,-4.721727720593539067e+06
2.010037924490242895e-10,-2.884916568074118346e+06
2.020248028664958709e-10,-9.522543662664969452e+05
2.030509995655796007e-10,9.950363779712057440e+05
2.040824088902927891e-10,2.874981763734409120e+06
2.051190573184695539e-10,4.607921286410721950e+06
2.061609714624396516e-10,6.120361003076705150e+06
2.072081780697118572e-10,7.347849144866981544e+06
2.082607040236602146e-10,8.238323691410490312e+06
2.093185763442146548e-10,8.754202199216715991e+06
2.103818221885543018e-10,8.874658389721864834e+06
2.114504688518039080e-10,8.596419250267682597e+06
2.125245437677379650e-10,7.934549353886283003e+06
2.136040745094798525e-10,6.921643676486893557e+06
2.146890887902131105e-10,5.606939117318964563e+06
2.157796144638918835e-10,4.053869033827199601e+06
2.168756795259562511e-10,2.337624755659358110e+06
2.179773121140506344e-10,5.413537782792149810e+05
2.190845405087463122e-10,-1.247392190422824351e+06
2.201973931342673499e-10,-2.941237701081231702e+06
2.213158985592203275e-10,-4.456950844780031592e+06
2.224400854973267306e-10,-5.720012835877287202e+06
2.235699828081638458e-10,-6.668154534423038363e+06
2.247056194979002020e-10,-7.255053481848669238e+06
2.258470247200435739e-10,-7.452606127809035592e+06
2.269942277761888570e-10,-7.252992802651527338e+06
2.281472581167699745e-10,-6.669044319487736560e+06
2.293061453418160241e-10,-5.734193206457485445e+06
2.304709192017113017e-10,-4.500647338548069820e+06
2.316416095979587375e-10,-3.037161404343552422e+06
2.328182465839477519e-10,-1.425188495586780133e+06
2.340008603657248525e-10,2.451162652719369507e+05
2.351894813027726048e-10,1.880123441381460987e+06
2.363841399087834861e-10,3.387643358983117156e+06
2.375848668524471284e-10,4.682513370183610357e+06
2.387916929582364506e-10,5.691289758733655326e+06
2.400046492071991148e-10,6.356995200503501110e+06
2.412237667377526539e-10,6.642397187061653472e+06
2.424490768464842519e-10,6.532804625335588120e+06
2.436806109889537810e-10,6.036973363867321052e+06
2.449184007805013369e-10,5.187211628842030652e+06
2.461624779970583409e-10,4.037449055209101178e+06
2.474128745759663969e-10,2.660508753477901220e+06
2.486696226167921682e-10,1.143545571945871692e+06
2.499327543821545575e-10,-4.169548998970637331e+05
