# kF r, W(r)
3.599605126773349852e-10,3.511092594807648566e+05
3.617889529711442778e-10,1.559438082052787766e+06
3.636266809334345586e-10,2.537785343969985377e+06
3.654737437414550016e-10,3.155974029992568307e+06
3.673301888120985686e-10,3.332241020867995452e+06
3.691960638031108305e-10,3.045017033714957070e+06
3.710714166143189502e-10,2.336897314498723950e+06
3.729562953888602531e-10,1.309473015888449037e+06
3.748507485144176214e-10,1.099335362746880273e+05
3.767548246244622294e-10,-1.089417592822440201e+06
3.786685725995016037e-10,-2.115533791623022873e+06
3.805920415683347669e-10,-2.819936896494939458e+06
3.825252809093118267e-10,-3.100795631979892496e+06
3.844683402516076785e-10,-2.918835520308614243e+06
3.864212694764867137e-10,-2.304010998263282701e+06
3.883841187185897050e-10,-1.352059920936566312e+06
3.903569383672194010e-10,-2.106687991544622637e+05
3.923397790676337192e-10,9.425225813622173155e+05
3.943326917223462291e-10,1.927353733808367746e+06
3.963357274924327875e-10,2.589429444324538577e+06
3.983489377988447392e-10,2.825196767014112789e+06
4.003723743237294078e-10,2.599233003266029526e+06
4.024060890117546183e-10,1.951073461357717169e+06
4.044501340714493503e-10,9.896812504029937554e+05
4.065045619765336376e-10,-1.235436065300871705e+05
4.085694254672728176e-10,-1.201159916750176577e+06
4.106447775518289901e-10,-2.060938962997462135e+06
4.127306715076228660e-10,-2.557180063181926496e+06
4.148271608827003218e-10,-2.606286551183398813e+06
4.169342994971081043e-10,-2.202313596239476465e+06
4.190521414442746016e-10,-1.419021801484457450e+06
4.211807410923991968e-10,-3.979733960501464317e+05
4.233201530858460668e-10,6.760326936527679209e+05
4.254704323465533883e-10,1.607797447308868635e+06
4.276316340754337026e-10,2.227438836415319704e+06
4.298038137537971316e-10,2.422112959031657316e+06
4.319870271447747490e-10,2.158002061592366081e+06
4.341813302947493442e-10,1.487732324385404820e+06
4.363867795347948713e-10,5.416355399848560337e+05
4.386034314821219480e-10,-4.963459595619141473e+05
4.408313430415317281e-10,-1.423617486986787524e+06
4.430705714068765479e-10,-2.058564086250290042e+06
4.453211740625266204e-10,-2.276819130403165706e+06
4.475832087848524987e-10,-2.037078709520828910e+06
4.498567336436979220e-10,-1.390557722282575676e+06
4.521418070038774268e-10,-4.718881793633472989e+05
4.544384875266731812e-10,5.275926306482417276e+05
4.567468341713405579e-10,1.398894290059984894e+06
4.590669061966220806e-10,1.959233702527048066e+06
4.613987631622683513e-10,2.091233902621911373e+06
4.637424649305671968e-10,1.769138249095311854e+06
4.660980716678785540e-10,1.065617814460485009e+06
4.684656438461865194e-10,1.372795142108470609e+05
4.708452422446405931e-10,-8.089069440557678463e+05
4.732369279511229279e-10,-1.561134912169259507e+06
4.756407623638157328e-10,-1.950603681274925824e+06
4.780568071927765356e-10,-1.890570841509502847e+06
4.804851244615226466e-10,-1.397545725920881610e+06
4.829257765086233786e-10,-5.888271097347929608e+05
4.853788259893006411e-10,3.436067246305349981e+05
4.878443358770371861e-10,1.177691755939709023e+06
4.903223694651908511e-10,1.714048170894231414e+06
4.928129903686281378e-10,1.824632968897238374e+06
4.953162625253447617e-10,1.484993429198178463e+06
4.978322501981152575e-10,7.817985845426911255e+05
5.003610179761407225e-10,-1.072925167289866222e+05
5.029026307767065905e-10,-9.570811857194765471e+05
5.054571538468497104e-10,-1.551526409070051042e+06
5.080246527650328700e-10,-1.739346016110545257e+06
5.106051934428285226e-10,-1.474227678234870546e+06
5.131988421266105776e-10,-8.283740066208197968e+05
5.158056653992536366e-10,2.492992732842553960e+04
5.184257301818495997e-10,8.563000489688646048e+05
5.210591037354140363e-10,1.441379721586502856e+06
5.237058536626204716e-10,1.622141075634714682e+06
5.263660479095345720e-10,1.351284327973139007e+06
5.290397547673576340e-10,7.069607679469205905e+05
5.317270428741802076e-10,-1.274979064870373259e+05
5.344279812167441979e-10,-9.141124256063662469e+05
5.371426391322132380e-10,-1.427736926526485709e+06
5.398710863099534023e-10,-1.521354178690326633e+06
5.426133927933196067e-10,-1.170151355148508213e+06
5.453696289814627907e-10,-4.804826228078122367e+05
5.481398656311237627e-10,3.400050925883195014e+05
5.509241738584583739e-10,1.043532957123682252e+06
5.537226251408615543e-10,1.416943291210316820e+06
5.565352913188011730e-10,1.347653802199000958e+06
5.593622445976634777e-10,8.599095167297871085e+05
5.622035575496059791e-10,1.090842618576866662e+05
5.650593031154203655e-10,-6.657023280393603491e+05
5.679295546064034815e-10,-1.216791682423195336e+06
5.708143857062477464e-10,-1.367781224200402386e+06
5.737138704729195773e-10,-1.071928354708479485e+06
5.766280833405687293e-10,-4.293110507622194709e+05
5.795570991214385657e-10,3.444553674063428771e+05
5.825009930077845996e-10,9.889712630917610368e+05
5.854598405738065814e-10,1.286698735248922370e+06
5.884337177775871000e-10,1.137953621597882593e+06
