# kF r, W(r)
2.340008603657248525e-10,1.299357204791961471e+06
2.351894813027726048e-10,1.384963786233167164e+07
2.363841399087834861e-10,2.541638860651523992e+07
2.375848668524471284e-10,3.534693432334752381e+07
2.387916929582364506e-10,4.307954947149305046e+07
2.400046492071991148e-10,4.817748099009655416e+07
2.412237667377526539e-10,5.035636427685947716e+07
2.424490768464842519e-10,4.950338344566630572e+07
2.436806109889537810e-10,4.568651707378943264e+07
2.449184007805013369e-10,3.915315246143677831e+07
2.461624779970583409e-10,3.031758857681577280e+07
2.474128745759663969e-10,1.973798416934339702e+07
2.486696226167921682e-10,8.083658315412626602e+06
2.499327543821545575e-10,-3.905374702601901721e+06
2.512023022985525084e-10,-1.546446266392658651e+07
2.524782989571972004e-10,-2.585305537748194858e+07
2.537607771148487941e-10,-3.440315741203620285e+07
2.550497696946573118e-10,-4.056417893267907202e+07
2.563453097870076541e-10,-4.394116365450029820e+07
2.576474306503683911e-10,-4.432349966610313207e+07
2.589561657121495997e-10,-4.170189693540593237e+07
2.602715485695544467e-10,-3.627198506519666314e+07
2.615936129904463320e-10,-2.842385917415635288e+07
2.629223929142142233e-10,-1.871776574666818231e+07
2.642579224526445561e-10,-7.847188968968464993e+06
2.656002358907961839e-10,3.408490544103868306e+06
2.669493676878810671e-10,1.423870498829256557e+07
2.683053524781487359e-10,2.386004575009285659e+07
2.696682250717753542e-10,3.157408657967832685e+07
2.710380204557563512e-10,3.682033896787886322e+07
2.724147737948089269e-10,3.922021637070527673e+07
2.737985204322681472e-10,3.860830706506547332e+07
2.751892958909987038e-10,3.504815807302930951e+07
2.765871358743057951e-10,2.883073551169965044e+07
2.779920762668515392e-10,2.045513993094879016e+07
2.794041531355763492e-10,1.059239033439339884e+07
2.808234027306248070e-10,3.466174244759642897e+04
2.822498614862760352e-10,-1.036654568826905079e+07
2.836835660218792891e-10,-1.976854717233131453e+07
2.851245531427928592e-10,-2.740665938592588156e+07
2.865728598413333123e-10,-3.265858472277275100e+07
2.880285232977183743e-10,-3.509855713481839001e+07
2.894915808810261488e-10,-3.453614243638700247e+07
2.909620701501528899e-10,-3.103598515710488707e+07
2.924400288547778041e-10,-2.491594814461843669e+07
2.939254949363313173e-10,-1.672322228955216333e+07
2.954185065289699588e-10,-7.189547798024875112e+06
2.969191019605547091e-10,2.830999051300239284e+06
2.984273197536352417e-10,1.243687203057380952e+07
2.999431986264373177e-10,2.075999022294139117e+07
3.014667774938621758e-10,2.704574215809468552e+07
3.029980954684776491e-10,3.072436075043924153e+07
3.045371918615273776e-10,3.146691327158505097e+07
3.060841061839387793e-10,2.921980376162382588e+07
3.076388781473373804e-10,2.421398911101169512e+07
3.092015476650660051e-10,1.694685259389892220e+07
3.107721548532099114e-10,8.137819631804455072e+06
3.123507400316261133e-10,-1.339123659658096964e+06
3.139373437249774087e-10,-1.053980322453482263e+07
3.155320066637779871e-10,-1.854353432908048108e+07
3.171347697854309212e-10,-2.454659346028304100e+07
3.187456742352847866e-10,-2.794620560031712428e+07
3.203647613676881101e-10,-2.840566819691412151e+07
3.219920727470514182e-10,-2.589346670083323866e+07
3.236276501489138346e-10,-2.069097420170103759e+07
3.252715355610159853e-10,-1.336716390997131355e+07
3.269237711843774530e-10,-4.721532806407718919e+06
3.285843994343805902e-10,4.299283706724087708e+06
3.302534629418574868e-10,1.270333469994012453e+07
3.319310045541904818e-10,1.956254212219590694e+07
3.336170673364031112e-10,2.411764667642710730e+07
3.353116945722719939e-10,2.586643909075411037e+07
3.370149297654360291e-10,2.462499145065522939e+07
3.387268166405134005e-10,2.055341955964253098e+07
3.404473991442236983e-10,1.414234976328741014e+07
3.421767214465170208e-10,6.159862001570889726e+06
3.439148279417069019e-10,-2.435697937258724123e+06
3.456617632496103723e-10,-1.060818856113290042e+07
3.474175722166922091e-10,-1.736815227304923162e+07
3.491822999172213859e-10,-2.189489489815581590e+07
3.509559916544201303e-10,-2.364043134840818495e+07
3.527386929616324711e-10,-2.240211080667890981e+07
3.545304496034917010e-10,-1.835311568859641254e+07
3.563313075770950240e-10,-1.202595894767793640e+07
3.581413131131848217e-10,-4.248945255005368963e+06
3.599605126773349852e-10,3.957233079438776243e+06
3.617889529711442778e-10,1.151105803718608059e+07
3.636266809334345586e-10,1.741282430707655847e+07
3.654737437414550016e-10,2.088009555373311415e+07
3.673301888120985686e-10,2.145675706137893721e+07
3.691960638031108305e-10,1.908032999489843473e+07
3.710714166143189502e-10,1.409617599451866187e+07
3.729562953888602531e-10,7.215320135468172841e+06
3.748507485144176214e-10,-5.807047340671441052e+05
3.767548246244622294e-10,-8.175655275727721862e+06
3.786685725995016037e-10,-1.447744267688399367e+07
3.805920415683347669e-10,-1.857710122302412242e+07
3.825252809093118267e-10,-1.988507345504240692e+07
3.844683402516076785e-10,-1.822312081280045584e+07
3.864212694764867137e-10,-1.385713269735548086e+07
3.883841187185897050e-10,-7.463145781163641252e+06
3.903569383672194010e-10,-3.009422877804616655e+04
3.923397790676337192e-10,7.288524153758517466e+06
3.943326917223462291e-10,1.335199451168122701e+07
3.963357274924327875e-10,1.721242243383216485e+07
3.983489377988447392e-10,1.826815869310408831e+07
4.003723743237294078e-10,1.636564963034711964e+07
4.024060890117546183e-10,1.183064331866594963e+07
4.044501340714493503e-10,5.421857721825776622e+06
4.065045619765336376e-10,-1.788613362513236003e+06
4.085694254672728176e-10,-8.589942935690123588e+06
4.106447775518289901e-10,-1.383532924560211785e+07
4.127306715076228660e-10,-1.663843539649451897e+07
4.148271608827003218e-10,-1.653008946618898958e+07
4.169342994971081043e-10,-1.354576856278227642e+07
4.190521414442746016e-10,-8.226789646475799382e+06
4.211807410923991968e-10,-1.531228120992262149e+06
4.233201530858460668e-10,5.331793175663883798e+06
4.254704323465533883e-10,1.111779383473963104e+07
4.276316340754337026e-10,1.477399733403578214e+07
4.298038137537971316e-10,1.563688429997043125e+07
4.319870271447747490e-10,1.356144757760196738e+07
4.341813302947493442e-10,8.956151988781701773e+06
4.363867795347948713e-10,2.712835906606427860e+06
4.386034314821219480e-10,-3.957760589286815375e+06
4.408313430415317281e-10,-9.756919067845631391e+06
4.430705714068765479e-10,-1.355137381729049794e+07
4.453211740625266204e-10,-1.460053201720841043e+07
4.475832087848524987e-10,-1.271013814517529123e+07
4.498567336436979220e-10,-8.279550519316865131e+06
4.521418070038774268e-10,-2.228402575786334928e+06
4.544384875266731812e-10,4.185500651648011524e+06
4.567468341713405579e-10,9.623678773897372186e+06
4.590669061966220806e-10,1.294729530299211852e+07
4.613987631622683513e-10,1.346228444143003598e+07
4.637424649305671968e-10,1.107444287607918680e+07
4.660980716678785540e-10,6.318587113829837181e+06
4.684656438461865194e-10,2.501102020441482600e+05
4.708452422446405931e-10,-5.780865407662469894e+06
4.732369279511229279e-10,-1.042717647499238141e+07
4.756407623638157328e-10,-1.264840268127387762e+07
4.780568071927765356e-10,-1.195254474874788150e+07
4.804851244615226466e-10,-8.516777285795781761e+06
4.829257765086233786e-10,-3.155942135378476232e+06
4.853788259893006411e-10,2.860022202302702237e+06
4.878443358770371861e-10,8.100580223818033002e+06
4.903223694651908511e-10,1.131520899234855734e+07
4.928129903686281378e-10,1.173818722031347826e+07
4.953162625253447617e-10,9.282737124895928428e+06
4.978322501981152575e-10,4.571727351107009687e+06
5.003610179761407225e-10,-1.207339254367832094e+06
5.029026307767065905e-10,-6.593550901033594273e+06
5.054571538468497104e-10,-1.021987598571809381e+07
5.080246527650328700e-10,-1.116571130349135958e+07
5.106051934428285226e-10,-9.201586718947280198e+06
5.131988421266105776e-10,-4.859187409915691242e+06
5.158056653992536366e-10,6.988982411796944216e+05
5.184257301818495997e-10,5.980664280702695251e+06
5.210591037354140363e-10,9.562881402286186814e+06
5.237058536626204716e-10,1.047957958589015529e+07
5.263660479095345720e-10,8.494507193267427385e+06
5.290397547673576340e-10,4.176675868366081733e+06
5.317270428741802076e-10,-1.247880980202276958e+06
5.344279812167441979e-10,-6.234805616290481761e+06
5.371426391322132380e-10,-9.358860731548329815e+06
5.398710863099534023e-10,-9.727952639790955931e+06
5.426133927933196067e-10,-7.250741292751264758e+06
5.453696289814627907e-10,-2.674947341932010371e+06
5.481398656311237627e-10,2.624025999928848352e+06
5.509241738584583739e-10,7.047848217510918155e+06
5.537226251408615543e-10,9.258014294844266027e+06
5.565352913188011730e-10,8.589786036985293031e+06
5.593622445976634777e-10,5.267730692748180591e+06
5.622035575496059791e-10,3.474032029023739160e+05
5.650593031154203655e-10,-4.606494398325194605e+06
5.679295546064034815e-10,-8.012775627529579215e+06
5.708143857062477464e-10,-8.782865812884731218e+06
5.737138704729195773e-10,-6.682184801140367985e+06
5.766280833405687293e-10,-2.418655291323078796e+06
5.795570991214385657e-10,2.579101391038984526e+06
5.825009930077845996e-10,6.631169323433292098e+06
5.854598405738065814e-10,8.371366047669467516e+06
5.884337177775871000e-10,7.218955053576394916e+06
5.914227009630426947e-10,3.589565040488952771e+06
5.944268668618829295e-10,-1.235863399978952715e+06
5.974462925955784622e-10,-5.550711821640346199e+06
6.004810556773497939e-10,-7.823506184949889779e+06
6.035312340141436095e-10,-7.250626084177723154e+06
6.065969059086411731e-10,-4.057307562726911623e+06
6.096781500612674456e-10,5.705982196321259253e+05
6.127750455722100261e-10,4.912572565147572197e+06
6.158876719434514315e-10,7.348521890668105334e+06
6.190161090808081995e-10,6.971556840792983770e+06
6.221604372959836412e-10,3.942716020724172704e+06
6.253207373086288649e-10,-5.562723981254475657e+05
6.284970902484124852e-10,-4.768646006146674044e+06
6.316895776571137002e-10,-7.043674611189580522e+06
6.348982814907003762e-10,-6.492321475374420173e+06
6.381232841214429076e-10,-3.352735936082819011e+06
6.413646683400264224e-10,1.090527826505741570e+06
6.446225173576760165e-10,5.016875768818926066e+06
6.478969148082931538e-10,6.812125646182889119e+06
6.511879447506026141e-10,5.743057399429868907e+06
6.544956916703101931e-10,2.276771214974254835e+06
6.578202404822717774e-10,-2.101140475708146580e+06
6.611616765326706902e-10,-5.509757562884925865e+06
6.645200856012187156e-10,-6.480782607815588824e+06
6.678955539033431644e-10,-4.605658095437020995e+06
6.712881680924101285e-10,-7.293950892425194615e+05
6.746980152619461846e-10,3.408853770899636205e+06
6.781251829478747806e-10,5.946499761304281652e+06
6.815697591307631684e-10,5.741344802010439336e+06
6.850318322380810202e-10,2.905167652150067966e+06
6.885114911464703157e-10,-1.231959909966734005e+06
6.920088251840243284e-10,-4.727218449450558051e+06
6.955239241325922534e-10,-5.934637780982768163e+06
6.990568782300665694e-10,-4.293258444944228977e+06
7.026077781727113450e-10,-6.116838532956852578e+05
7.061767151174876499e-10,3.307511724890463054e+06
7.097637806843935461e-10,5.539179121081184596e+06
7.133690669588160720e-10,4.988449508944843896e+06
7.169926664938957385e-10,1.948966310926576378e+06
7.206346723129014677e-10,-2.027139661629278446e+06
7.242951779116198010e-10,-4.905270192162286490e+06
7.279742772607514479e-10,-5.209845881712745875e+06
7.316720648083354423e-10,-2.799407569534117356e+06
7.353886354821564448e-10,1.042364275769726955e+06
7.391240846921931972e-10,4.268702125452024862e+06
7.428785083330648061e-10,5.156301836765632965e+06
7.466520027864929492e-10,3.240701170157912187e+06
7.504446649237756621e-10,-4.137314808114266489e+05
7.542565921082742574e-10,-3.781383743578761816e+06
7.580878821979130637e-10,-4.989990410534555092e+06
7.619386335476914705e-10,-3.374953013852710836e+06
7.658089450122055877e-10,1.287815405514834274e+05
7.696989159481982372e-10,3.501618608262096997e+06
7.736086462170915726e-10,4.794022174362296239e+06
7.775382361875628165e-10,3.265279127370764501e+06
7.814877867381175160e-10,-1.642342579858849931e+05
7.854573992596792384e-10,-3.440494671854721382e+06
7.894471756581932253e-10,-4.595567902459857054e+06
7.934572183572413178e-10,-2.943113450117271859e+06
7.974876303006719769e-10,4.856820019966111868e+05
8.015385149552431257e-10,3.558073172792456578e+06
8.056099763132747106e-10,4.358232104990402237e+06
8.097021188953313519e-10,2.397206304982277565e+06
8.138150477528863819e-10,-1.057837311559993075e+06
8.179488684710313785e-10,-3.776670551263574976e+06
8.221036871711834241e-10,-4.000490428418372292e+06
8.262796105138096318e-10,-1.600035861938674469e+06
8.304767457011646992e-10,1.819491830848002108e+06
8.346952004800439727e-10,3.968319046882569324e+06
8.389350831445488155e-10,3.407322999729098286e+06
8.431965025388629362e-10,5.369759632114828564e+05
8.474795680600609767e-10,-2.654974164218310732e+06
8.517843896608960078e-10,-3.953098916153255850e+06
8.561110778526359315e-10,-2.461868746036797762e+06
8.604597437078971947e-10,7.451673483153926209e+05
8.648304988634953575e-10,3.368142841521026101e+06
8.692234555233127211e-10,3.522061380982381292e+06
8.736387264611769166e-10,1.112682544252810767e+06
8.780764250237569676e-10,-2.073521873955496587e+06
8.825366651334728983e-10,-3.670186319345928729e+06
8.870195612914169212e-10,-2.494578565595340449e+06
8.915252285803064725e-10,5.459636130727872951e+05
8.960537826674181181e-10,3.120510884992799256e+06
9.006053398075701601e-10,3.251749398399726953e+06
9.051800168461041060e-10,8.553015611188340699e+05
9.097779312218842321e-10,-2.171555222415827680e+06
9.143992009703125538e-10,-3.428893022667695303e+06
9.190439447263581677e-10,-1.925008667155806674e+06
9.237122817276042746e-10,1.107093218077588826e+06
9.284043318173071972e-10,3.188275534843484871e+06
9.331202154474710099e-10,2.615416373904696200e+06
9.378600536819539125e-10,-1.166658090591270156e+05
9.426239681995536141e-10,-2.704940334352454171e+06
9.474120812971458626e-10,-2.963181820432846900e+06
9.522245158928209074e-10,-6.885535219472591998e+05
9.570613955290385723e-10,2.141931603826473001e+06
9.619228443757992533e-10,3.064347273454151116e+06
9.668089872338322854e-10,1.284091607376778033e+06
9.717199495377998204e-10,-1.602563835008288966e+06
9.766558573595166276e-10,-3.007691128915801644e+06
9.816168374111818877e-10,-1.675330845484946389e+06
9.866030170486494522e-10,1.161061063251192449e+06
9.916145242746728725e-10,2.883916084741190542e+06
9.966514877422060572e-10,1.904266878058823291e+06
1.001714036757704137e-09,-8.404389688472102862e+05
1.006802301284440871e-09,-2.743800134498951491e+06
1.011916411945846944e-09,-1.997823816379113356e+06
1.017056500028861492e-09,6.594050193618888734e+05
1.022222697487304312e-09,2.632517802754289005e+06
1.027415136945256963e-09,1.993219873540363275e+06
1.032633951700485848e-09,-6.058950491560382070e+05
1.037879275727838407e-09,-2.554790569457313046e+06
1.043151243682699701e-09,-1.895336791037203046e+06
1.048449990904443821e-09,6.816176109907551436e+05
1.053775653419909911e-09,2.516720402326987591e+06
1.059128367946892658e-09,1.715859841215671506e+06
1.064508271897652853e-09,-8.632583526394549990e+05
1.069915503382445310e-09,-2.486521581939307973e+06
1.075350201213063341e-09,-1.434307304378360044e+06
1.080812504906398522e-09,1.142080800969703821e+06
1.086302554688039761e-09,2.438192696292811539e+06
1.091820491495847126e-09,1.047188872106086928e+06
1.097366456983586898e-09,-1.474231328927022405e+06
1.102940593524563920e-09,-2.308922719595394563e+06
1.108543044215275878e-09,-5.329215163111377042e+05
1.114173952879088260e-09,1.818771829411586747e+06
1.119833464069925230e-09,2.050617687240341678e+06
1.125521723075981399e-09,-8.732053146311712044e+04
1.131238875923450547e-09,-2.085008634711588267e+06
1.136985069380271094e-09,-1.595306670850450173e+06
1.142760450959910665e-09,7.800284085510601290e+05
1.148565168925127480e-09,2.182829485296038445e+06
1.154399372291792137e-09,9.273471217206816655e+05
1.160263210832711465e-09,-1.434219907433863264e+06
1.166156835081470774e-09,-1.989834988518830156e+06
1.172080396336300303e-09,-6.563976388191267324e+04
1.178034046663957804e-09,1.909303336562901968e+06
1.184017938903633244e-09,1.441534995486917207e+06
