# kF r, W(r)
2.412237667377526539e-10,5.751988155198440887e+06
2.424490768464842519e-10,6.060017076110682450e+06
2.436806109889537810e-10,5.990381373044212349e+06
2.449184007805013369e-10,5.550005437554867938e+06
2.461624779970583409e-10,4.768528688404733315e+06
2.474128745759663969e-10,3.697060086647046730e+06
2.486696226167921682e-10,2.404963935842433944e+06
2.499327543821545575e-10,9.759886473791360622e+05
2.512023022985525084e-10,-4.971970650406515342e+05
2.524782989571972004e-10,-1.918606348204708192e+06
2.537607771148487941e-10,-3.195452778828837909e+06
2.550497696946573118e-10,-4.244051449225125834e+06
2.563453097870076541e-10,-4.995806801227466203e+06
2.576474306503683911e-10,-5.401772620207488537e+06
2.589561657121495997e-10,-5.436524429105673917e+06
2.602715485695544467e-10,-5.099961478175293654e+06
2.615936129904463320e-10,-4.417923177121450193e+06
2.629223929142142233e-10,-3.440464320213385392e+06
2.642579224526445561e-10,-2.238894023224344943e+06
2.656002358907961839e-10,-9.006971754369558766e+05
2.669493676878810671e-10,4.763218833500723704e+05
2.683053524781487359e-10,1.791302833893715637e+06
2.696682250717753542e-10,2.947485395659479778e+06
2.710380204557563512e-10,3.859732055018630344e+06
2.724147737948089269e-10,4.460855510845638812e+06
2.737985204322681472e-10,4.707221774748977274e+06
2.751892958909987038e-10,4.582184791367503814e+06
2.765871358743057951e-10,4.097987865149037447e+06
2.779920762668515392e-10,3.294961160328571219e+06
2.794041531355763492e-10,2.238946071991746314e+06
2.808234027306248070e-10,1.016142264856985887e+06
2.822498614862760352e-10,-2.733506606606178102e+05
2.836835660218792891e-10,-1.523744859387531877e+06
2.851245531427928592e-10,-2.631984726465762593e+06
2.865728598413333123e-10,-3.506594415600751527e+06
2.880285232977183743e-10,-4.075312105223809835e+06
2.894915808810261488e-10,-4.291716367564224638e+06
2.909620701501528899e-10,-4.139348521496943664e+06
2.924400288547778041e-10,-3.633767979640856385e+06
2.939254949363313173e-10,-2.821415378999606241e+06
2.954185065289699588e-10,-1.776140386504369089e+06
2.969191019605547091e-10,-5.927685710990099469e+05
2.984273197536352417e-10,6.209620343326984439e+05
2.999431986264373177e-10,1.754253319987234659e+06
3.014667774938621758e-10,2.703205711866735481e+06
3.029980954684776491e-10,3.380781534903656226e+06
3.045371918615273776e-10,3.725016146557702683e+06
3.060841061839387793e-10,3.705443653022175655e+06
3.076388781473373804e-10,3.326255879691398237e+06
3.092015476650660051e-10,2.626569310724339914e+06
3.107721548532099114e-10,1.676888257684769807e+06
3.123507400316261133e-10,5.727631555349024711e+05
3.139373437249774087e-10,-5.745882033146083122e+05
3.155320066637779871e-10,-1.649088148363488493e+06
3.171347697854309212e-10,-2.541736205383442808e+06
3.187456742352847866e-10,-3.161733501108401921e+06
3.203647613676881101e-10,-3.446348430073177442e+06
3.219920727470514182e-10,-3.367707128296590410e+06
3.236276501489138346e-10,-2.936408083493757527e+06
3.252715355610159853e-10,-2.200743491958589293e+06
3.269237711843774530e-10,-1.242173884767711628e+06
3.285843994343805902e-10,-1.667174047338450619e+05
3.302534629418574868e-10,9.062345480077385437e+05
3.319310045541904818e-10,1.857205201286351308e+06
3.336170673364031112e-10,2.579910468174550682e+06
3.353116945722719939e-10,2.993690581805869471e+06
3.370149297654360291e-10,3.052962616419663653e+06
3.387268166405134005e-10,2.753156361664745957e+06
3.404473991442236983e-10,2.131657093679559417e+06
3.421767214465170208e-10,1.264123162918314571e+06
3.439148279417069019e-10,2.558162187424897274e+05
3.456617632496103723e-10,-7.705391380933069158e+05
3.474175722166922091e-10,-1.689632324086026521e+06
3.491822999172213859e-10,-2.388811188312205486e+06
3.509559916544201303e-10,-2.782423198051000945e+06
3.527386929616324711e-10,-2.822802408191313967e+06
3.545304496034917010e-10,-2.506994612211111467e+06
3.563313075770950240e-10,-1.877609651385809295e+06
3.581413131131848217e-10,-1.018082159104281222e+06
3.599605126773349852e-10,-4.218270015924521431e+04
3.617889529711442778e-10,9.204472905384503538e+05
3.636266809334345586e-10,1.741513211727991933e+06
3.654737437414550016e-10,2.311236056576558389e+06
3.673301888120985686e-10,2.553690304299181793e+06
3.691960638031108305e-10,2.437576172342741862e+06
3.710714166143189502e-10,1.981320779967929935e+06
3.729562953888602531e-10,1.251050497997824801e+06
3.748507485144176214e-10,3.520173420501506771e+05
3.767548246244622294e-10,-5.860491724074658705e+05
3.786685725995016037e-10,-1.427222527401319705e+06
3.805920415683347669e-10,-2.049263598262330750e+06
3.825252809093118267e-10,-2.361707833708689082e+06
3.844683402516076785e-10,-2.319904032118258066e+06
3.864212694764867137e-10,-1.932243161214148160e+06
3.883841187185897050e-10,-1.259742329445051495e+06
3.903569383672194010e-10,-4.072911007754794555e+05
3.923397790676337192e-10,4.918769784328079550e+05
3.943326917223462291e-10,1.296766703731874470e+06
3.963357274924327875e-10,1.880690415935926372e+06
3.983489377988447392e-10,2.151814781078528613e+06
4.003723743237294078e-10,2.068343370079689426e+06
4.024060890117546183e-10,1.646133662224284606e+06
4.044501340714493503e-10,9.567758326418688521e+05
4.065045619765336376e-10,1.165778173459756508e+05
4.085694254672728176e-10,-7.324482349644962233e+05
4.106447775518289901e-10,-1.446200048308697063e+06
4.127306715076228660e-10,-1.903240616623639595e+06
4.148271608827003218e-10,-2.026011637132860953e+06
4.169342994971081043e-10,-1.795095388880694052e+06
4.190521414442746016e-10,-1.253343927936078515e+06
4.211807410923991968e-10,-4.992068838210669346e+05
4.233201530858460668e-10,3.303195845236323075e+05
4.254704323465533883e-10,1.083965623926576693e+06
4.276316340754337026e-10,1.623864429276982555e+06
4.298038137537971316e-10,1.851209558392039267e+06
4.319870271447747490e-10,1.725399284142759629e+06
4.341813302947493442e-10,1.272429089827824384e+06
4.363867795347948713e-10,5.809394020825327607e+05
4.386034314821219480e-10,-2.141167314206876035e+05
