# kF r, W(r)
1.417013166125197436e-10,1.426765613979989663e+07
1.424210966657624395e-10,2.126983021305513754e+07
1.431445328835166934e-10,2.798652602102398872e+07
1.438716438374821793e-10,3.427169373779275268e+07
1.446024481936945135e-10,3.998943469424501061e+07
1.453369647130045537e-10,4.501413711959940195e+07
1.460752122515599479e-10,4.923630141547445953e+07
1.468172097612893449e-10,5.256228747488004714e+07
1.475629762903886214e-10,5.491951360001119226e+07
1.483125309838102887e-10,5.625554040141729265e+07
1.490658930837546312e-10,5.654238763007178158e+07
1.498230819301631456e-10,5.577472208313526213e+07
1.505841169612176405e-10,5.397309310149571300e+07
1.513490177138354079e-10,5.118106202146757394e+07
1.521178038241732347e-10,4.746723991730399430e+07
1.528904950281309744e-10,4.292129047590243816e+07
1.536671111618580143e-10,3.765475769868222624e+07
1.544476721622626901e-10,3.179598603002526239e+07
1.552321980675239996e-10,2.548984304742313921e+07
1.560207090176060839e-10,1.889172067461761460e+07
1.568132252547751117e-10,1.216637752467507496e+07
1.576097671241184383e-10,5.481301126296348870e+06
1.584103550740693228e-10,-9.949962788349086186e+05
1.592150096569282584e-10,-7.099875761853241362e+06
1.600237515293927558e-10,-1.267840363285767473e+07
1.608366014530873853e-10,-1.759006296207549796e+07
1.616535802950965841e-10,-2.171024645305463672e+07
1.624747090285002559e-10,-2.493630944267314300e+07
1.633000087329123690e-10,-2.718825664031634852e+07
1.641295005950220098e-10,-2.841369083810970932e+07
1.649632059091372025e-10,-2.858728026328365505e+07
1.658011460777310292e-10,-2.771423881616570428e+07
1.666433426119937212e-10,-2.582826958000118658e+07
1.674898171323807953e-10,-2.299334688921108469e+07
1.683405913691707549e-10,-1.929998938075505942e+07
1.691956871630224025e-10,-1.486529205889748223e+07
1.700551264655353322e-10,-9.827576036420315504e+06
1.709189313398136534e-10,-4.344823393823249266e+06
1.717871239610322737e-10,1.412039409639216261e+06
1.726597266170061277e-10,7.261942414202341810e+06
1.735367617087617337e-10,1.302129730748820305e+07
1.744182517511150565e-10,1.850748671477731317e+07
1.753042193732452608e-10,2.354677621267602965e+07
1.761946873192783643e-10,2.797780961419919878e+07
1.770896784488706071e-10,3.165908624334659427e+07
1.779892157377950522e-10,3.447172077633872628e+07
1.788933222785317008e-10,3.632575069289884716e+07
1.798020212808599607e-10,3.716145480338110030e+07
1.807153360724547853e-10,3.695384236211469769e+07
1.816332900994853966e-10,3.571196235876163095e+07
1.825559069272163360e-10,3.348111358905649930e+07
1.834832102406156483e-10,3.033981110138688609e+07
1.844152238449582587e-10,2.639953193979226053e+07
1.853519716664400507e-10,2.179931441974645108e+07
1.862934777527915309e-10,1.670318827242047712e+07
1.872397662738949055e-10,1.129273048705847375e+07
1.881908615224048797e-10,5.762678588381314650e+06
1.891467879143718605e-10,3.121057008249752689e+05
1.901075699898692181e-10,-4.860970143850212917e+06
1.910732324136229771e-10,-9.568853314738743007e+06
1.920437999756441964e-10,-1.363952828522058576e+07
1.930192975918687931e-10,-1.692527068132210150e+07
1.939997503047919900e-10,-1.930684922375536710e+07
1.949851832841148866e-10,-2.070037878868794814e+07
1.959756218273892724e-10,-2.105932905246312171e+07
1.969710913606675580e-10,-2.037869372247008234e+07
1.979716174391551362e-10,-1.869403367317079753e+07
1.989772257478664915e-10,-1.608238612205272727e+07
1.999879421022847990e-10,-1.265799489650467597e+07
2.010037924490242895e-10,-8.569870368955828249e+06
2.020248028664958709e-10,-3.994392056307013147e+06
2.030509995655796007e-10,8.700117977112910012e+05
2.040824088902927891e-10,5.812643089239498600e+06
2.051190573184695539e-10,1.061772632439780049e+07
2.061609714624396516e-10,1.507533027327205427e+07
2.072081780697118572e-10,1.898900386154762655e+07
2.082607040236602146e-10,2.218627751270504296e+07
2.093185763442146548e-10,2.452510651212026179e+07
2.103818221885543018e-10,2.590231599335251376e+07
2.114504688518039080e-10,2.625728955762882531e+07
2.125245437677379650e-10,2.557694845405746996e+07
2.136040745094798525e-10,2.389550204676072672e+07
2.146890887902131105e-10,2.129507460761050880e+07
2.157796144638918835e-10,1.790098536380164698e+07
2.168756795259562511e-10,1.387789231265701354e+07
2.179773121140506344e-10,9.420900034229105338e+06
2.190845405087463122e-10,4.747958306202081032e+06
2.201973931342673499e-10,8.796094697571860161e+04
2.213158985592203275e-10,-4.329045444059780799e+06
2.224400854973267306e-10,-8.284883442276067100e+06
2.235699828081638458e-10,-1.158308207985236496e+07
2.247056194979002020e-10,-1.406071908242760785e+07
2.258470247200435739e-10,-1.559595763060697354e+07
2.269942277761888570e-10,-1.611643996505423635e+07
2.281472581167699745e-10,-1.560245678802557103e+07
2.293061453418160241e-10,-1.409015225874668360e+07
2.304709192017113017e-10,-1.166902477175260335e+07
2.316416095979587375e-10,-8.479178682155219838e+06
2.328182465839477519e-10,-4.702999459809846245e+06
2.340008603657248525e-10,-5.569470481606961694e+05
2.351894813027726048e-10,3.721441105544713791e+06
2.363841399087834861e-10,7.885431025295313448e+06
2.375848668524471284e-10,1.169441657762607373e+07
2.387916929582364506e-10,1.492667404651737027e+07
2.400046492071991148e-10,1.739389893672982231e+07
2.412237667377526539e-10,1.895157216555599496e+07
2.424490768464842519e-10,1.950949041936340183e+07
2.436806109889537810e-10,1.903676539723517746e+07
2.449184007805013369e-10,1.756580763089718297e+07
2.461624779970583409e-10,1.519003814620162360e+07
2.474128745759663969e-10,1.206018106920494698e+07
2.486696226167921682e-10,8.374433459341794252e+06
2.499327543821545575e-10,4.367770158847622573e+06
2.512023022985525084e-10,2.962395086189074791e+05
2.524782989571972004e-10,-3.578141447719064541e+06
2.537607771148487941e-10,-7.005597479166693985e+06
2.550497696946573118e-10,-9.764130982135742903e+06
2.563453097870076541e-10,-1.167588428066959977e+07
2.576474306503683911e-10,-1.261864982610218599e+07
2.589561657121495997e-10,-1.253612683761932701e+07
2.602715485695544467e-10,-1.144165250616467558e+07
2.615936129904463320e-10,-9.419395673475956544e+06
2.629223929142142233e-10,-6.618399954853215255e+06
2.642579224526445561e-10,-3.244049483286765404e+06
2.656002358907961839e-10,4.568808829550764640e+05
2.669493676878810671e-10,4.212406095113209449e+06
2.683053524781487359e-10,7.745882507199810818e+06
2.696682250717753542e-10,1.079531182929236628e+07
2.710380204557563512e-10,1.313411726282271184e+07
2.724147737948089269e-10,1.458769775989851914e+07
2.737985204322681472e-10,1.504848253436854668e+07
2.751892958909987038e-10,1.448417056314769946e+07
2.765871358743057951e-10,1.294233604996396229e+07
2.779920762668515392e-10,1.054688139575792663e+07
2.794041531355763492e-10,7.490324769321345724e+06
2.808234027306248070e-10,4.018438931247885805e+06
2.822498614862760352e-10,4.121403148733235430e+05
2.836835660218792891e-10,-3.035869971816626843e+06
2.851245531427928592e-10,-6.044111664746425115e+06
2.865728598413333123e-10,-8.366858099180013873e+06
2.880285232977183743e-10,-9.814393870439868420e+06
2.894915808810261488e-10,-1.027086781439382024e+07
2.909620701501528899e-10,-9.704401884343054146e+06
2.924400288547778041e-10,-8.171986033153992146e+06
2.939254949363313173e-10,-5.814895560223977081e+06
2.954185065289699588e-10,-2.848321279899288435e+06
2.969191019605547091e-10,4.576451625289018848e+05
2.984273197536352417e-10,3.800700119918980170e+06
2.999431986264373177e-10,6.874263701964970678e+06
3.014667774938621758e-10,9.394776653398560360e+06
3.029980954684776491e-10,1.112924391063609533e+07
3.045371918615273776e-10,1.191701091178070195e+07
3.060841061839387793e-10,1.168688985574420728e+07
3.076388781473373804e-10,1.046446151994701661e+07
3.092015476650660051e-10,8.371830378893627785e+06
3.107721548532099114e-10,5.616289488112149760e+06
3.123507400316261133e-10,2.471901072238824330e+06
3.139373437249774087e-10,-7.476541085099065676e+05
3.155320066637779871e-10,-3.719307222829086706e+06
3.171347697854309212e-10,-6.144114985832557082e+06
3.187456742352847866e-10,-7.777560420873437077e+06
3.203647613676881101e-10,-8.456495081116249785e+06
3.219920727470514182e-10,-8.116673151465818286e+06
3.236276501489138346e-10,-6.801750268153773621e+06
3.252715355610159853e-10,-4.659442175167100504e+06
3.269237711843774530e-10,-1.927819689878425794e+06
3.285843994343805902e-10,1.090087809710243018e+06
3.302534629418574868e-10,4.058025912910018116e+06
3.319310045541904818e-10,6.644189357674549334e+06
3.336170673364031112e-10,8.557892893435241655e+06
3.353116945722719939e-10,9.583895961024450138e+06
3.370149297654360291e-10,9.607500435664705932e+06
3.387268166405134005e-10,8.629998114695215598e+06
3.404473991442236983e-10,6.769522116676275618e+06
3.421767214465170208e-10,4.249455729456892237e+06
3.439148279417069019e-10,1.372611231593023753e+06
