# q/kF, w_life / wp0
1.000000000000000056e-01,1.450734021474791094e-03
1.058116232464929862e-01,1.313027272195600942e-03
1.116232464929859808e-01,1.353490039903684685e-03
1.174348697394789476e-01,1.648930266495862544e-03
1.232464929859719560e-01,2.148774583833722249e-03
1.290581162324649367e-01,1.704445259292540092e-03
1.348697394789579174e-01,1.616494891444920706e-03
1.406813627254508980e-01,1.939386701851556231e-03
1.464929859719438787e-01,2.382621501887634882e-03
1.523046092184368872e-01,2.085041605540066591e-03
1.581162324649298678e-01,2.125812431050891956e-03
1.639278557114228763e-01,2.557658179569422680e-03
1.697394789579158292e-01,2.593140637929858099e-03
1.755511022044088376e-01,2.606825887534309615e-03
1.813627254509018183e-01,2.924689945893913824e-03
1.871743486973947990e-01,3.055165104601670085e-03
1.929859719438877796e-01,3.154110752526622947e-03
1.987975951903807603e-01,3.485249829007437076e-03
2.046092184368737132e-01,3.560807611485685906e-03
2.104208416833667217e-01,3.745381410544313273e-03
2.162324649298597301e-01,4.082946158729634095e-03
2.220440881763527108e-01,4.127874966075531331e-03
2.278557114228456915e-01,4.480555763784133810e-03
2.336673346693386721e-01,4.588825931048689903e-03
2.394789579158316528e-01,4.850973909485394725e-03
2.452905811623246612e-01,5.079008867277272875e-03
2.511022044088176419e-01,5.288028516799605887e-03
2.569138276553106226e-01,5.576887376785613984e-03
2.627254509018036033e-01,5.765751430736125970e-03
2.685370741482965840e-01,6.076449008212280942e-03
2.743486973947896201e-01,6.274107836723460604e-03
2.801603206412826008e-01,6.578541246987010087e-03
2.859719438877755815e-01,6.811455725568914960e-03
2.917835671342686177e-01,7.091393174008436655e-03
2.975951903807615428e-01,7.381691010431469177e-03
3.034068136272545235e-01,7.625637627269410239e-03
3.092184368737475042e-01,7.993721249268516058e-03
3.150300601202404849e-01,8.195087502469557486e-03
3.208416833667334656e-01,8.548507988359887316e-03
3.266533066132264462e-01,8.814350802892874023e-03
3.324649298597194269e-01,9.103756729772495213e-03
3.382765531062124076e-01,9.498459679755242441e-03
3.440881763527053883e-01,9.726831998551328448e-03
3.498997995991983689e-01,1.005465623395723936e-02
3.557114228456913496e-01,1.043496320250578667e-02
3.615230460921843303e-01,1.069650361061900978e-02
3.673346693386773110e-01,1.103276577236311957e-02
3.731462925851702916e-01,1.143101916866919553e-02
3.789579158316632723e-01,1.171783607093429547e-02
3.847695390781563640e-01,1.204639291166251583e-02
3.905811623246493447e-01,1.242255515923513035e-02
3.963927855711423254e-01,1.280487779496257070e-02
4.022044088176353061e-01,1.311872780015536574e-02
4.080160320641282867e-01,1.347007262598281033e-02
4.138276553106212674e-01,1.385229349382353752e-02
4.196392785571142481e-01,1.425917618010182769e-02
4.254509018036072288e-01,1.461114271575152807e-02
4.312625250501002094e-01,1.496588498383794909e-02
4.370741482965931901e-01,1.534147874802970803e-02
4.428857715430861708e-01,1.573398101010760330e-02
4.486973947895791515e-01,1.613978730394415376e-02
4.545090180360720766e-01,1.655588245832737351e-02
4.603206412825651128e-01,1.694642320923795201e-02
4.661322645290580935e-01,1.732924609554534201e-02
4.719438877755510742e-01,1.772268969938354047e-02
4.777555110220440548e-01,1.812484272426295728e-02
4.835671342685370355e-01,1.853404170765952236e-02
4.893787575150300162e-01,1.894895103054230340e-02
4.951903807615230524e-01,1.936853169958820467e-02
5.010020040080159776e-01,1.979192420085511619e-02
5.068136272545090693e-01,2.021847583783996719e-02
5.126252505010020499e-01,2.064775916337327141e-02
5.184368737474950306e-01,2.107953108129655487e-02
5.242484969939880113e-01,2.151369210660622824e-02
5.300601202404809920e-01,2.195028060075336629e-02
5.358717434869739726e-01,2.238946024725396722e-02
5.416833667334669533e-01,2.283153261174963519e-02
5.474949899799599340e-01,2.327691634918454405e-02
5.533066132264529147e-01,2.372609537883130573e-02
5.591182364729458953e-01,2.417964316567250416e-02
5.649298597194388760e-01,2.463823814615949057e-02
5.707414829659317457e-01,2.510262086952083638e-02
5.765531062124248374e-01,2.557357754409216727e-02
5.823647294589178181e-01,2.604269910460255133e-02
5.881763527054107987e-01,2.649219747064368580e-02
5.939879759519037794e-01,2.694905583968947027e-02
5.997995991983967601e-01,2.741441421643108639e-02
6.056112224448897408e-01,2.788940799221750408e-02
6.114228456913826104e-01,2.837522514490555328e-02
6.172344689378757021e-01,2.886326664724240751e-02
6.230460921843686828e-01,2.932274872128706397e-02
6.288577154308616635e-01,2.979544612871167300e-02
6.346693386773546441e-01,3.028270087021793858e-02
6.404809619238476248e-01,3.078587191963043368e-02
6.462925851703406055e-01,3.125741970748215776e-02
6.521042084168336972e-01,3.173557083964281128e-02
6.579158316633265668e-01,3.223287530293694747e-02
6.637274549098196585e-01,3.273721465003244513e-02
6.695390781563127502e-01,3.321041546508524817e-02
6.753507014028056199e-01,3.370643103470079283e-02
6.811623246492986006e-01,3.422226346768302008e-02
6.869739478957915813e-01,3.469673369070501445e-02
6.927855711422845619e-01,3.519799379515413384e-02
6.985971943887775426e-01,3.570910251920664247e-02
7.044088176352705233e-01,3.619266088172347351e-02
7.102204408817635040e-01,3.670720205957680310e-02
7.160320641282564846e-01,3.720157594793203210e-02
7.218436873747494653e-01,3.770327537707689886e-02
7.276553106212424460e-01,3.821779034469001413e-02
7.334669338677354267e-01,3.870940037761255031e-02
7.392785571142284073e-01,3.923634110094078448e-02
7.450901803607213880e-01,3.972108199478691787e-02
7.509018036072143687e-01,4.024701957501865962e-02
7.567134268537073494e-01,4.073549129040904271e-02
7.625250501002003300e-01,4.126120865074810878e-02
7.683366733466933107e-01,4.175123421269375662e-02
7.741482965931861804e-01,4.228073339866457447e-02
7.799599198396792721e-01,4.276820337115625620e-02
7.857715430861723638e-01,4.329081819093160560e-02
7.915831663326652334e-01,4.378739389896078860e-02
7.973947895791583251e-01,4.430010824098563199e-02
8.032064128256513058e-01,4.481078369473060624e-02
8.090180360721442865e-01,4.531159416873505735e-02
8.148296593186372672e-01,4.583663077997976454e-02
8.206412825651302478e-01,4.632872460267417614e-02
8.264529058116232285e-01,4.683767765005650979e-02
8.322645290581163202e-01,4.735562112568147269e-02
8.380761523046091899e-01,4.784804026931226834e-02
8.438877755511021705e-01,4.835697645430533931e-02
8.496993987975951512e-01,4.887287940252268287e-02
8.555110220440881319e-01,4.936346340169745633e-02
8.613226452905811126e-01,4.986663459766173950e-02
8.671342685370740933e-01,5.038042766020155855e-02
8.729458917835671850e-01,5.087491706878374126e-02
8.787575150300600546e-01,5.136860378461160365e-02
8.845691382765530353e-01,5.187015034532304475e-02
8.903807615230460160e-01,5.237803707053056979e-02
8.961923847695389966e-01,5.286878834653276765e-02
9.020040080160319773e-01,5.335673658556508436e-02
9.078156312625250690e-01,5.384919473585535882e-02
9.136272545090180497e-01,5.434500691801946032e-02
9.194388777555110304e-01,5.484311529847554767e-02
9.252505010020040110e-01,5.532813505517900077e-02
9.310621242484969917e-01,5.580791836262542077e-02
9.368737474949899724e-01,5.628910488155969283e-02
9.426853707414829531e-01,5.677091329887320320e-02
9.484969939879759337e-01,5.725263626866797934e-02
9.543086172344688034e-01,5.773364003606063638e-02
9.601202404809618951e-01,5.821334877337017155e-02
9.659318637274548758e-01,5.869125626599244749e-02
9.717434869739478565e-01,5.915980362872431259e-02
9.775551102204408371e-01,5.962428183733221171e-02
9.833667334669338178e-01,6.008713050128115796e-02
9.891783567134267985e-01,6.054800949390664461e-02
9.949899799599196681e-01,6.100662245802321304e-02
1.000801603206412871e+00,6.146271506917957983e-02
1.006613226452905741e+00,6.191607704232384574e-02
1.012424849699398832e+00,6.236653125905934625e-02
1.018236472945891702e+00,6.281393518873581994e-02
1.024048096192384794e+00,6.325817916933658414e-02
1.029859719438877885e+00,6.369918052647551010e-02
1.035671342685370755e+00,6.413688328445110720e-02
