# q/kF, wp(q)/wp(0)
 (1.000000000000000056e-01+0.000000000000000000e+00j), (9.981769220208586146e-01-1.016449224538268481e-11j)
 (1.058116232464929724e-01+0.000000000000000000e+00j), (9.979586777960378630e-01-1.532898888028078995e-15j)
 (1.116232464929859808e-01+0.000000000000000000e+00j), (9.977280575035254451e-01-2.228532572509280961e-19j)
 (1.174348697394789615e-01+0.000000000000000000e+00j), (9.974850616109809387e-01-6.210572020445957009e-21j)
 (1.232464929859719421e-01+0.000000000000000000e+00j), (9.972296801057782822e-01+0.000000000000000000e+00j)
 (1.290581162324649367e-01+0.000000000000000000e+00j), (9.969619064926656948e-01+0.000000000000000000e+00j)
 (1.348697394789579174e-01+0.000000000000000000e+00j), (9.966817325769022906e-01+0.000000000000000000e+00j)
 (1.406813627254508980e-01+0.000000000000000000e+00j), (9.963891469874893714e-01+0.000000000000000000e+00j)
 (1.464929859719438787e-01+0.000000000000000000e+00j), (9.960841435175935565e-01+0.000000000000000000e+00j)
 (1.523046092184368872e-01+0.000000000000000000e+00j), (9.957667096528123318e-01+0.000000000000000000e+00j)
 (1.581162324649298678e-01+0.000000000000000000e+00j), (9.954368384034262274e-01+0.000000000000000000e+00j)
 (1.639278557114228485e-01+0.000000000000000000e+00j), (9.950945168252356421e-01+0.000000000000000000e+00j)
 (1.697394789579158292e-01+0.000000000000000000e+00j), (9.947397359915384207e-01+0.000000000000000000e+00j)
 (1.755511022044088376e-01+0.000000000000000000e+00j), (9.943724837528848948e-01+0.000000000000000000e+00j)
 (1.813627254509018183e-01+0.000000000000000000e+00j), (9.939927494396683105e-01+0.000000000000000000e+00j)
 (1.871743486973947990e-01+0.000000000000000000e+00j), (9.936005201998608927e-01+0.000000000000000000e+00j)
 (1.929859719438877796e-01+0.000000000000000000e+00j), (9.931957846598428175e-01+0.000000000000000000e+00j)
 (1.987975951903807603e-01+0.000000000000000000e+00j), (9.927785297261008113e-01+0.000000000000000000e+00j)
 (2.046092184368737410e-01+0.000000000000000000e+00j), (9.923487427120067927e-01+0.000000000000000000e+00j)
 (2.104208416833667217e-01+0.000000000000000000e+00j), (9.919064100566500342e-01+0.000000000000000000e+00j)
 (2.162324649298597579e-01+0.000000000000000000e+00j), (9.914515180362970526e-01+0.000000000000000000e+00j)
 (2.220440881763527385e-01+0.000000000000000000e+00j), (9.909840525784719967e-01+0.000000000000000000e+00j)
 (2.278557114228457192e-01+0.000000000000000000e+00j), (9.905039992915261049e-01+0.000000000000000000e+00j)
 (2.336673346693386444e-01+0.000000000000000000e+00j), (9.900113432176665951e-01+0.000000000000000000e+00j)
 (2.394789579158316251e-01+0.000000000000000000e+00j), (9.895060691074273329e-01+0.000000000000000000e+00j)
 (2.452905811623246612e-01+0.000000000000000000e+00j), (9.889881614221295303e-01+0.000000000000000000e+00j)
 (2.511022044088176419e-01+0.000000000000000000e+00j), (9.884576041761108378e-01+0.000000000000000000e+00j)
 (2.569138276553106226e-01+0.000000000000000000e+00j), (9.879143810765514955e-01+0.000000000000000000e+00j)
 (2.627254509018036033e-01+0.000000000000000000e+00j), (9.873584754145865450e-01+0.000000000000000000e+00j)
 (2.685370741482965840e-01+0.000000000000000000e+00j), (9.867898701141498696e-01+0.000000000000000000e+00j)
 (2.743486973947896201e-01+0.000000000000000000e+00j), (9.862085478055988563e-01+0.000000000000000000e+00j)
 (2.801603206412826008e-01+0.000000000000000000e+00j), (9.856144906404240569e-01+0.000000000000000000e+00j)
 (2.859719438877755815e-01+0.000000000000000000e+00j), (9.850076805393633839e-01+0.000000000000000000e+00j)
 (2.917835671342685622e-01+0.000000000000000000e+00j), (9.843880989461056830e-01+0.000000000000000000e+00j)
 (2.975951903807615428e-01+0.000000000000000000e+00j), (9.837557270589356584e-01+0.000000000000000000e+00j)
 (3.034068136272545235e-01+0.000000000000000000e+00j), (9.831105456123099273e-01+0.000000000000000000e+00j)
 (3.092184368737475042e-01+0.000000000000000000e+00j), (9.824525350444675009e-01+0.000000000000000000e+00j)
 (3.150300601202404849e-01+0.000000000000000000e+00j), (9.817816754511020649e-01+0.000000000000000000e+00j)
 (3.208416833667334656e-01+0.000000000000000000e+00j), (9.810979465248641507e-01+0.000000000000000000e+00j)
 (3.266533066132264462e-01+0.000000000000000000e+00j), (9.804013276427404611e-01+0.000000000000000000e+00j)
 (3.324649298597194269e-01+0.000000000000000000e+00j), (9.796917978290246021e-01+0.000000000000000000e+00j)
 (3.382765531062124076e-01+0.000000000000000000e+00j), (9.789693357470450330e-01+0.000000000000000000e+00j)
 (3.440881763527053883e-01+0.000000000000000000e+00j), (9.782339197105939244e-01+0.000000000000000000e+00j)
 (3.498997995991983689e-01+0.000000000000000000e+00j), (9.774855277177143531e-01+0.000000000000000000e+00j)
 (3.557114228456913496e-01+0.000000000000000000e+00j), (9.767241373695585427e-01+0.000000000000000000e+00j)
 (3.615230460921843303e-01+0.000000000000000000e+00j), (9.759497259819123194e-01+0.000000000000000000e+00j)
 (3.673346693386773110e-01+0.000000000000000000e+00j), (9.751622704730338320e-01+0.000000000000000000e+00j)
 (3.731462925851702916e-01+0.000000000000000000e+00j), (9.743617474583694538e-01+0.000000000000000000e+00j)
 (3.789579158316632723e-01+0.000000000000000000e+00j), (9.735481332132699395e-01+0.000000000000000000e+00j)
 (3.847695390781563640e-01+0.000000000000000000e+00j), (9.727214036610516423e-01+0.000000000000000000e+00j)
 (3.905811623246493447e-01+0.000000000000000000e+00j), (9.718815343994990918e-01+0.000000000000000000e+00j)
