# q/kF, wp(q)/wp(0)
 (3.034068136272545235e-01+0.000000000000000000e+00j), (9.903961910083396436e-01+0.000000000000000000e+00j)
 (3.092184368737475042e-01+0.000000000000000000e+00j), (9.900315730699366101e-01+0.000000000000000000e+00j)
 (3.150300601202404849e-01+0.000000000000000000e+00j), (9.896605868623193913e-01+0.000000000000000000e+00j)
 (3.208416833667334656e-01+0.000000000000000000e+00j), (9.892832665497832689e-01+0.000000000000000000e+00j)
 (3.266533066132264462e-01+0.000000000000000000e+00j), (9.888996472445236163e-01+0.000000000000000000e+00j)
 (3.324649298597194269e-01+0.000000000000000000e+00j), (9.885097650235671329e-01+1.256616843699574414e-22j)
 (3.382765531062124076e-01+0.000000000000000000e+00j), (9.881136569453127239e-01+0.000000000000000000e+00j)
 (3.440881763527053883e-01+0.000000000000000000e+00j), (9.877113610737744409e-01+0.000000000000000000e+00j)
 (3.498997995991983689e-01+0.000000000000000000e+00j), (9.873029164955913206e-01+0.000000000000000000e+00j)
 (3.557114228456913496e-01+0.000000000000000000e+00j), (9.868883633443412684e-01+0.000000000000000000e+00j)
 (3.615230460921843303e-01+0.000000000000000000e+00j), (9.864677428189236874e-01+1.312660995851575099e-22j)
 (3.673346693386772555e-01+0.000000000000000000e+00j), (9.860410972084345804e-01+0.000000000000000000e+00j)
 (3.731462925851702916e-01+0.000000000000000000e+00j), (9.856084699148450756e-01+0.000000000000000000e+00j)
 (3.789579158316632168e-01+0.000000000000000000e+00j), (9.851699054740046257e-01+0.000000000000000000e+00j)
 (3.847695390781563640e-01+0.000000000000000000e+00j), (9.847254495826063270e-01+0.000000000000000000e+00j)
 (3.905811623246493447e-01+0.000000000000000000e+00j), (9.842751491221937155e-01+0.000000000000000000e+00j)
 (3.963927855711423254e-01+0.000000000000000000e+00j), (9.838190521836241986e-01+0.000000000000000000e+00j)
 (4.022044088176353616e-01+0.000000000000000000e+00j), (9.833572080940815585e-01+0.000000000000000000e+00j)
 (4.080160320641282867e-01+0.000000000000000000e+00j), (9.828896674444843606e-01+0.000000000000000000e+00j)
 (4.138276553106213229e-01+0.000000000000000000e+00j), (9.824164821156927685e-01+0.000000000000000000e+00j)
 (4.196392785571142481e-01+0.000000000000000000e+00j), (9.819377053078482964e-01+0.000000000000000000e+00j)
 (4.254509018036071732e-01+0.000000000000000000e+00j), (9.814533915697385424e-01+0.000000000000000000e+00j)
 (4.312625250501002094e-01+0.000000000000000000e+00j), (9.809635968274000861e-01+0.000000000000000000e+00j)
 (4.370741482965931346e-01+0.000000000000000000e+00j), (9.804683784161071225e-01+0.000000000000000000e+00j)
 (4.428857715430861708e-01+0.000000000000000000e+00j), (9.799677951115941532e-01+1.468284967606953509e-22j)
 (4.486973947895791515e-01+0.000000000000000000e+00j), (9.794619071621024631e-01+0.000000000000000000e+00j)
 (4.545090180360721321e-01+0.000000000000000000e+00j), (9.789507763220524073e-01+0.000000000000000000e+00j)
 (4.603206412825651128e-01+0.000000000000000000e+00j), (9.784344658860976152e-01+1.501200005176124742e-22j)
 (4.661322645290580935e-01+0.000000000000000000e+00j), (9.779130407241606315e-01+0.000000000000000000e+00j)
 (4.719438877755510742e-01+0.000000000000000000e+00j), (9.773865673179688018e-01+0.000000000000000000e+00j)
 (4.777555110220441104e-01+0.000000000000000000e+00j), (9.768551137978985777e-01+0.000000000000000000e+00j)
 (4.835671342685370355e-01+0.000000000000000000e+00j), (9.763187499807672864e-01+0.000000000000000000e+00j)
 (4.893787575150300717e-01+0.000000000000000000e+00j), (9.757775474095846668e-01+0.000000000000000000e+00j)
 (4.951903807615229969e-01+0.000000000000000000e+00j), (9.752315793934295263e-01+0.000000000000000000e+00j)
 (5.010020040080159776e-01+0.000000000000000000e+00j), (9.746809210491635955e-01+0.000000000000000000e+00j)
 (5.068136272545090693e-01+0.000000000000000000e+00j), (9.741256493435163089e-01+0.000000000000000000e+00j)
 (5.126252505010020499e-01+0.000000000000000000e+00j), (9.735658431375046051e-01+0.000000000000000000e+00j)
 (5.184368737474950306e-01+0.000000000000000000e+00j), (9.730015832305953793e-01+0.000000000000000000e+00j)
 (5.242484969939880113e-01+0.000000000000000000e+00j), (9.724329524077485187e-01+0.000000000000000000e+00j)
 (5.300601202404809920e-01+0.000000000000000000e+00j), (9.718600354863010660e-01+0.000000000000000000e+00j)
