# q/kF, wp(q)/epsF
 (4.893787575150300162e-01+0.000000000000000000e+00j), (2.897640106290939096e-03+0.000000000000000000e+00j)
 (4.951903807615230524e-01+0.000000000000000000e+00j), (2.894634801480434200e-03+0.000000000000000000e+00j)
 (5.010020040080159776e-01+0.000000000000000000e+00j), (2.891592462318120539e-03+8.877646185511458924e-24j)
 (5.068136272545090693e-01+0.000000000000000000e+00j), (2.888513043129744239e-03-8.924700075135049537e-24j)
 (5.126252505010020499e-01+0.000000000000000000e+00j), (2.885396498294220263e-03-8.972131557777739647e-24j)
 (5.184368737474950306e-01+0.000000000000000000e+00j), (2.882242782247120515e-03+0.000000000000000000e+00j)
 (5.242484969939880113e-01+0.000000000000000000e+00j), (2.879051849520111034e-03+9.068151260526426197e-24j)
 (5.300601202404809920e-01+0.000000000000000000e+00j), (2.875823654766036103e-03+0.000000000000000000e+00j)
 (5.358717434869739726e-01+0.000000000000000000e+00j), (2.872558152775137909e-03+0.000000000000000000e+00j)
 (5.416833667334669533e-01+0.000000000000000000e+00j), (2.869255298515901043e-03+0.000000000000000000e+00j)
 (5.474949899799599340e-01+0.000000000000000000e+00j), (2.865915047153710319e-03-9.264991578715968172e-24j)
 (5.533066132264529147e-01+0.000000000000000000e+00j), (2.862537354082283526e-03+0.000000000000000000e+00j)
 (5.591182364729458953e-01+0.000000000000000000e+00j), (2.859122174952620932e-03+0.000000000000000000e+00j)
 (5.649298597194388760e-01+0.000000000000000000e+00j), (2.855669465705872653e-03-9.417027977350435856e-24j)
 (5.707414829659317457e-01+0.000000000000000000e+00j), (2.852179182603100868e-03+0.000000000000000000e+00j)
 (5.765531062124248374e-01+0.000000000000000000e+00j), (2.848651282254426650e-03+0.000000000000000000e+00j)
 (5.823647294589178181e-01+0.000000000000000000e+00j), (2.845085721658519202e-03+0.000000000000000000e+00j)
 (5.881763527054107987e-01+0.000000000000000000e+00j), (2.841482458230251262e-03+0.000000000000000000e+00j)
 (5.939879759519037794e-01+0.000000000000000000e+00j), (2.837841449839596797e-03-9.679373441268445558e-24j)
 (5.997995991983967601e-01+0.000000000000000000e+00j), (2.834162654846236577e-03+0.000000000000000000e+00j)
 (6.056112224448897408e-01+0.000000000000000000e+00j), (2.830446032137469252e-03+9.787619506186778809e-24j)
 (6.114228456913826104e-01+0.000000000000000000e+00j), (2.826691541165776353e-03+0.000000000000000000e+00j)
 (6.172344689378757021e-01+0.000000000000000000e+00j), (2.822899141989199286e-03+0.000000000000000000e+00j)
 (6.230460921843686828e-01+0.000000000000000000e+00j), (2.819068795309992437e-03-9.953733145927803649e-24j)
 (6.288577154308616635e-01+0.000000000000000000e+00j), (2.815200462519282330e-03+0.000000000000000000e+00j)
 (6.346693386773546441e-01+0.000000000000000000e+00j), (2.811294105738517974e-03-1.006707157775250267e-23j)
 (6.404809619238476248e-01+0.000000000000000000e+00j), (2.807349687863617410e-03+0.000000000000000000e+00j)
 (6.462925851703406055e-01+0.000000000000000000e+00j), (2.803367172613220343e-03+0.000000000000000000e+00j)
 (6.521042084168336972e-01+0.000000000000000000e+00j), (2.799346524572660783e-03+0.000000000000000000e+00j)
 (6.579158316633265668e-01+0.000000000000000000e+00j), (2.795287709247996737e-03+0.000000000000000000e+00j)
 (6.637274549098196585e-01+0.000000000000000000e+00j), (2.791190693111925743e-03+0.000000000000000000e+00j)
 (6.695390781563127502e-01+0.000000000000000000e+00j), (2.787055443657307160e-03-1.042035507129038303e-23j)
 (6.753507014028056199e-01+0.000000000000000000e+00j), (2.782881929453132151e-03+0.000000000000000000e+00j)
 (6.811623246492986006e-01+0.000000000000000000e+00j), (2.778670120199092444e-03+0.000000000000000000e+00j)
 (6.869739478957915813e-01+0.000000000000000000e+00j), (2.774419986783329718e-03+0.000000000000000000e+00j)
