# q/kF, wp(q)/wp(0)
 (1.000000000000000056e-01+0.000000000000000000e+00j), (9.987160250046097643e-01-2.938014536897765776e-12j)
 (1.058116232464929862e-01+0.000000000000000000e+00j), (9.985625576838826900e-01-1.409689158384105952e-17j)
 (1.116232464929859808e-01+0.000000000000000000e+00j), (9.984004483351055503e-01+0.000000000000000000e+00j)
 (1.174348697394789615e-01+0.000000000000000000e+00j), (9.982297019874396549e-01+1.999052164901973119e-22j)
 (1.232464929859719560e-01+0.000000000000000000e+00j), (9.980503226262292804e-01+0.000000000000000000e+00j)
 (1.290581162324649367e-01+0.000000000000000000e+00j), (9.978623153338506135e-01+2.042370014572345888e-22j)
 (1.348697394789579174e-01+0.000000000000000000e+00j), (9.976656850906380214e-01+0.000000000000000000e+00j)
 (1.406813627254508980e-01+0.000000000000000000e+00j), (9.974604372906870076e-01+0.000000000000000000e+00j)
 (1.464929859719438787e-01+0.000000000000000000e+00j), (9.972465774358626467e-01+0.000000000000000000e+00j)
 (1.523046092184368872e-01+0.000000000000000000e+00j), (9.970241114451974251e-01+0.000000000000000000e+00j)
 (1.581162324649298678e-01+0.000000000000000000e+00j), (9.967930455057435468e-01+0.000000000000000000e+00j)
 (1.639278557114228485e-01+0.000000000000000000e+00j), (9.965533859839610376e-01-2.173308056156265641e-22j)
 (1.697394789579158292e-01+0.000000000000000000e+00j), (9.963051395607649408e-01+2.195281685998169230e-22j)
 (1.755511022044088376e-01+0.000000000000000000e+00j), (9.960483133352713292e-01+0.000000000000000000e+00j)
 (1.813627254509018183e-01+0.000000000000000000e+00j), (9.957829146068428727e-01+0.000000000000000000e+00j)
 (1.871743486973947990e-01+0.000000000000000000e+00j), (9.955089510097417937e-01+0.000000000000000000e+00j)
 (1.929859719438877796e-01+0.000000000000000000e+00j), (9.952264304520410665e-01+0.000000000000000000e+00j)
 (1.987975951903807603e-01+0.000000000000000000e+00j), (9.949353612216805809e-01+0.000000000000000000e+00j)
 (2.046092184368737410e-01+0.000000000000000000e+00j), (9.946357518713941914e-01+0.000000000000000000e+00j)
 (2.104208416833667217e-01+0.000000000000000000e+00j), (9.943276113292577323e-01+0.000000000000000000e+00j)
 (2.162324649298597301e-01+0.000000000000000000e+00j), (9.940109488474485611e-01+0.000000000000000000e+00j)
 (2.220440881763527108e-01+0.000000000000000000e+00j), (9.936857740335257594e-01-2.395126782190390499e-22j)
 (2.278557114228456915e-01+0.000000000000000000e+00j), (9.933520968367653969e-01+0.000000000000000000e+00j)
 (2.336673346693386721e-01+0.000000000000000000e+00j), (9.930099275838757400e-01+0.000000000000000000e+00j)
 (2.394789579158316528e-01+0.000000000000000000e+00j), (9.926592769545578010e-01+0.000000000000000000e+00j)
 (2.452905811623246612e-01+0.000000000000000000e+00j), (9.923001560244210095e-01+0.000000000000000000e+00j)
 (2.511022044088176419e-01+0.000000000000000000e+00j), (9.919325762442939842e-01+0.000000000000000000e+00j)
 (2.569138276553106226e-01+0.000000000000000000e+00j), (9.915565494729853269e-01-2.530589687030106703e-22j)
 (2.627254509018036033e-01+0.000000000000000000e+00j), (9.911720879664084327e-01+0.000000000000000000e+00j)
 (2.685370741482965840e-01+0.000000000000000000e+00j), (9.907792043947349914e-01+0.000000000000000000e+00j)
 (2.743486973947896201e-01+0.000000000000000000e+00j), (9.903779118597255682e-01+0.000000000000000000e+00j)
 (2.801603206412826008e-01+0.000000000000000000e+00j), (9.899682238918487975e-01+0.000000000000000000e+00j)
 (2.859719438877755815e-01+0.000000000000000000e+00j), (9.895501544696196916e-01+0.000000000000000000e+00j)
 (2.917835671342685622e-01+0.000000000000000000e+00j), (9.891237180252333561e-01+0.000000000000000000e+00j)
 (2.975951903807615428e-01+0.000000000000000000e+00j), (9.886889294616143520e-01+0.000000000000000000e+00j)
 (3.034068136272545235e-01+0.000000000000000000e+00j), (9.882458041537774962e-01+2.714249456070879431e-22j)
 (3.092184368737475042e-01+0.000000000000000000e+00j), (9.877943579706802701e-01+0.000000000000000000e+00j)
 (3.150300601202404849e-01+0.000000000000000000e+00j), (9.873346072753919067e-01+0.000000000000000000e+00j)
 (3.208416833667334656e-01+0.000000000000000000e+00j), (9.868665689532456486e-01-2.784074512203929300e-22j)
 (3.266533066132264462e-01+0.000000000000000000e+00j), (9.863902604092258386e-01+0.000000000000000000e+00j)
 (3.324649298597194269e-01+0.000000000000000000e+00j), (9.859056995894919240e-01+2.830925888671596993e-22j)
 (3.382765531062124076e-01+0.000000000000000000e+00j), (9.854129049895776760e-01+2.854443697151161949e-22j)
 (3.440881763527053883e-01+0.000000000000000000e+00j), (9.849118956715737783e-01+0.000000000000000000e+00j)
 (3.498997995991983689e-01+0.000000000000000000e+00j), (9.844026912763436110e-01+0.000000000000000000e+00j)
 (3.557114228456913496e-01+0.000000000000000000e+00j), (9.838853120398631802e-01+0.000000000000000000e+00j)
 (3.615230460921843303e-01+0.000000000000000000e+00j), (9.833597788048847876e-01+2.949141894515704276e-22j)
 (3.673346693386773110e-01+0.000000000000000000e+00j), (9.828261130349141839e-01+0.000000000000000000e+00j)
 (3.731462925851702916e-01+0.000000000000000000e+00j), (9.822843368369813533e-01+0.000000000000000000e+00j)
 (3.789579158316632723e-01+0.000000000000000000e+00j), (9.817344729693752159e-01+0.000000000000000000e+00j)
 (3.847695390781563640e-01+0.000000000000000000e+00j), (9.811765448611822205e-01+0.000000000000000000e+00j)
 (3.905811623246493447e-01+0.000000000000000000e+00j), (9.806105766302132265e-01+0.000000000000000000e+00j)
 (3.963927855711423254e-01+0.000000000000000000e+00j), (9.800365930992649410e-01+0.000000000000000000e+00j)
 (4.022044088176353061e-01+0.000000000000000000e+00j), (9.794546198118718738e-01+0.000000000000000000e+00j)
 (4.080160320641282867e-01+0.000000000000000000e+00j), (9.788646830534806220e-01+0.000000000000000000e+00j)
 (4.138276553106212674e-01+0.000000000000000000e+00j), (9.782668098679520030e-01+0.000000000000000000e+00j)
 (4.196392785571142481e-01+0.000000000000000000e+00j), (9.776610280774924444e-01+0.000000000000000000e+00j)
 (4.254509018036072288e-01+0.000000000000000000e+00j), (9.770473663014745958e-01+0.000000000000000000e+00j)
