# q/kF, int w**2 * S(q; w) dw
1.000000000000000021e-02,1.637364391695825548e-17
2.000000000000000042e-02,2.046781572927311569e-15
2.999999999999999889e-02,3.502260733252135824e-14
4.000000000000000083e-02,2.630989682844990820e-13
5.000000000000000278e-02,1.258975294036926521e-12
6.000000000000000472e-02,4.532692240634232400e-12
6.999999999999999278e-02,1.340612874650690355e-11
8.000000000000000167e-02,3.434868519194138673e-11
8.999999999999999667e-02,7.888313246098089406e-11
9.999999999999999167e-02,1.661932724416510889e-10
1.100000000000000006e-01,3.266729988454953801e-10
1.199999999999999956e-01,6.062489095558146137e-10
1.300000000000000044e-01,1.072393618487586123e-09
1.400000000000000133e-01,1.821087149150991628e-09
1.500000000000000222e-01,2.985937670720661144e-09
1.600000000000000033e-01,4.748644786435354785e-09
1.700000000000000122e-01,7.353901615951853965e-09
1.800000000000000211e-01,1.112081798572957835e-08
1.900000000000000300e-01,1.647139679218545583e-08
2.000000000000000111e-01,2.394168990703354884e-08
2.100000000000000200e-01,3.421563786170861385e-08
2.200000000000000011e-01,4.816250736367350084e-08
2.300000000000000100e-01,6.685220054915203292e-08
2.400000000000000189e-01,9.163564989721510789e-08
2.500000000000000000e-01,1.241597171392825779e-07
2.600000000000000089e-01,1.664415204676706947e-07
2.700000000000000178e-01,2.209408386696063464e-07
2.800000000000000266e-01,2.906230897332315559e-07
2.900000000000000355e-01,3.791090169460861864e-07
2.999999999999999889e-01,4.906553470525745244e-07
3.099999999999999978e-01,6.304081037789412317e-07
3.200000000000000067e-01,8.044156462708351663e-07
3.300000000000000155e-01,1.020039910999620121e-06
3.400000000000000244e-01,1.285653901143073173e-06
3.500000000000000333e-01,1.611345418538595364e-06
3.600000000000000422e-01,2.008912879406138503e-06
3.699999999999999400e-01,2.492012604516066690e-06
3.800000000000000600e-01,3.076776365332101762e-06
3.900000000000000133e-01,3.781750421037067416e-06
4.000000000000000222e-01,4.628883513830508677e-06
4.100000000000000311e-01,5.642959401552720780e-06
4.200000000000000400e-01,6.852939160368898760e-06
4.299999999999999933e-01,8.292011076606475934e-06
4.400000000000000022e-01,9.999592367959124939e-06
4.500000000000000111e-01,1.201868549939831114e-05
4.600000000000000200e-01,1.440056301594045307e-05
4.700000000000000289e-01,1.720199898652315310e-05
4.800000000000000377e-01,2.049123696368161836e-05
4.899999999999999911e-01,2.434279352019971883e-05
5.000000000000000000e-01,2.884250828253519751e-05
5.100000000000000089e-01,3.408817115483861617e-05
5.200000000000000178e-01,4.019261032475712053e-05
5.300000000000000266e-01,4.728365994647958613e-05
5.400000000000000355e-01,5.550087230586875321e-05
5.500000000000000444e-01,6.501145092667347432e-05
5.600000000000000533e-01,7.599673553567129242e-05
5.700000000000000622e-01,8.867137951823166595e-05
5.800000000000000711e-01,1.032636428995747940e-04
5.899999999999999689e-01,1.200427678916818412e-04
5.999999999999999778e-01,1.393211728465246126e-04
6.099999999999999867e-01,1.614318325198696588e-04
6.199999999999999956e-01,1.867594318306022743e-04
6.300000000000000044e-01,2.157378911762506042e-04
6.400000000000000133e-01,2.488702661751719582e-04
6.500000000000000222e-01,2.867120627910009164e-04
6.600000000000000311e-01,3.298760843183886401e-04
6.700000000000000400e-01,3.790521723620191366e-04
6.800000000000000488e-01,4.351189833812765459e-04
6.900000000000000577e-01,4.988878739270291010e-04
7.000000000000000666e-01,5.714696101481176989e-04
7.100000000000000755e-01,6.539152564950554769e-04
7.199999999999999734e-01,7.477248593867563773e-04
7.299999999999999822e-01,8.542396299361601107e-04
7.399999999999998801e-01,9.751759918306664252e-04
7.500000000000000000e-01,1.112567915896210723e-03
7.600000000000001199e-01,1.268677200282986332e-03
7.700000000000000178e-01,1.445992900310951769e-03
7.800000000000000266e-01,1.647480426362209855e-03
7.900000000000000355e-01,1.876565639470474363e-03
8.000000000000000444e-01,2.137220621522241230e-03
8.100000000000000533e-01,2.434065787441242433e-03
8.200000000000000622e-01,2.772591244876012728e-03
8.300000000000000711e-01,3.159978991549159105e-03
8.400000000000000799e-01,3.603597221746418586e-03
8.499999999999999778e-01,4.112696981776792562e-03
8.599999999999999867e-01,4.699640005438964971e-03
8.699999999999999956e-01,5.381249014672254138e-03
8.800000000000000044e-01,6.173325463521061283e-03
8.900000000000000133e-01,7.110236884534127180e-03
9.000000000000000222e-01,8.220698288637397211e-03
9.100000000000000311e-01,9.580978405977855911e-03
9.200000000000000400e-01,1.126728483175729219e-02
9.300000000000000488e-01,1.356131162025998524e-02
9.400000000000000577e-01,1.717960333080581145e-02
9.500000000000000666e-01,2.644979089165368225e-02
9.600000000000000755e-01,3.089042555498821424e-02
9.699999999999999734e-01,3.174488094498478796e-02
9.799999999999999822e-01,3.259349451904562656e-02
9.899999999999998801e-01,3.345475187747318918e-02
1.000000000000000000e+00,3.433377290383907154e-02
1.010000000000000009e+00,3.523137635854461935e-02
1.020000000000000018e+00,3.614761723796803411e-02
1.030000000000000027e+00,3.708245977697921525e-02
1.040000000000000036e+00,3.803590202311557533e-02
1.050000000000000044e+00,3.900798890410489550e-02
1.060000000000000053e+00,3.999880194267976807e-02
1.070000000000000062e+00,4.100845150504792147e-02
1.080000000000000071e+00,4.203706993448581147e-02
1.090000000000000080e+00,4.308622270044003971e-02
1.100000000000000089e+00,4.415733336317947955e-02
1.110000000000000098e+00,4.524763157621868731e-02
1.120000000000000107e+00,4.635732325465613535e-02
1.130000000000000115e+00,4.749112745473238473e-02
1.140000000000000124e+00,4.864481608967582277e-02
1.150000000000000133e+00,4.982022648275461624e-02
1.160000000000000142e+00,5.101878086046154198e-02
1.169999999999999929e+00,5.223854554182984222e-02
1.179999999999999938e+00,5.348263024630457718e-02
1.189999999999999947e+00,5.474893031555364692e-02
1.199999999999999956e+00,5.603911865167772455e-02
1.209999999999999964e+00,5.735375783207267292e-02
1.219999999999999973e+00,5.869137111802971013e-02
1.229999999999999982e+00,6.005508982968333492e-02
1.239999999999999991e+00,6.144367336698287885e-02
1.249999999999999778e+00,6.285697838410432559e-02
1.260000000000000009e+00,6.429562880716688245e-02
1.270000000000000018e+00,6.576193374009861592e-02
1.280000000000000027e+00,6.725451694894395149e-02
1.290000000000000036e+00,6.877381556154647801e-02
1.300000000000000044e+00,7.032033787493054133e-02
1.310000000000000053e+00,7.189456635379810889e-02
1.320000000000000062e+00,7.349696135757136095e-02
1.330000000000000071e+00,7.512795978070056779e-02
1.340000000000000080e+00,7.678797932084763245e-02
1.350000000000000089e+00,7.847741643812619627e-02
1.360000000000000098e+00,8.019664810630761087e-02
1.370000000000000107e+00,8.194603202738764969e-02
1.380000000000000115e+00,8.372590676549575284e-02
1.390000000000000124e+00,8.553659171320746046e-02
1.400000000000000133e+00,8.737912467923228399e-02
1.410000000000000142e+00,8.925438220859512051e-02
1.419999999999999929e+00,9.116155338811753051e-02
1.429999999999999938e+00,9.310087776843230245e-02
1.439999999999999947e+00,9.507403871689576458e-02
1.449999999999999956e+00,9.708149394158659129e-02
1.459999999999999964e+00,9.912196250482741000e-02
1.469999999999999973e+00,1.011981158394053421e-01
1.479999999999999760e+00,1.033091143278919571e-01
1.489999999999999991e+00,1.054551882975731658e-01
1.500000000000000000e+00,1.076383126340847846e-01
1.510000000000000009e+00,1.098568828627045774e-01
1.520000000000000240e+00,1.121135582980045675e-01
1.530000000000000027e+00,1.144070760015764021e-01
1.540000000000000036e+00,1.167385419838074950e-01
1.550000000000000044e+00,1.191093230484537580e-01
1.560000000000000053e+00,1.215177364927574055e-01
1.570000000000000062e+00,1.239668234392518331e-01
1.580000000000000071e+00,1.264559697580004971e-01
1.590000000000000080e+00,1.289847807091916154e-01
1.600000000000000089e+00,1.315541813609274191e-01
1.610000000000000098e+00,1.341668495232202774e-01
1.620000000000000107e+00,1.368210720229855459e-01
1.630000000000000115e+00,1.395175229314076226e-01
1.640000000000000124e+00,1.422568643187632209e-01
1.650000000000000133e+00,1.450397434125300367e-01
1.660000000000000142e+00,1.478667912557360686e-01
1.670000000000000151e+00,1.507386217469083856e-01
1.679999999999999938e+00,1.536558295038682187e-01
1.689999999999999947e+00,1.566189887461829910e-01
1.699999999999999956e+00,1.596286515951621243e-01
1.709999999999999964e+00,1.626853459953650216e-01
1.719999999999999973e+00,1.657895740483091018e-01
1.729999999999999982e+00,1.689418096632552824e-01
1.739999999999999991e+00,1.721424962560537397e-01
1.750000000000000222e+00,1.753920445381308424e-01
1.760000000000000009e+00,1.786908297755658570e-01
1.770000000000000018e+00,1.820396465670068575e-01
1.780000000000000027e+00,1.854413821593302314e-01
1.790000000000000036e+00,1.888937379447520049e-01
1.800000000000000044e+00,1.923969394279056722e-01
1.810000000000000053e+00,1.959536086820711231e-01
1.820000000000000062e+00,1.995643771064354033e-01
1.830000000000000071e+00,2.032269398343711786e-01
1.840000000000000080e+00,2.069458400197894121e-01
1.850000000000000089e+00,2.107190036203316907e-01
1.860000000000000098e+00,2.145471559359808655e-01
1.870000000000000107e+00,2.184329351814648379e-01
1.880000000000000115e+00,2.223738014010539776e-01
1.890000000000000124e+00,2.263739205216219186e-01
1.900000000000000133e+00,2.304308238186009439e-01
1.910000000000000142e+00,2.345466655812636358e-01
1.920000000000000151e+00,2.387227525499499292e-01
1.929999999999999938e+00,2.429560971028318361e-01
1.939999999999999947e+00,2.472534961569139988e-01
1.949999999999999956e+00,2.516107350035960422e-01
1.959999999999999964e+00,2.560280060701627391e-01
1.969999999999999973e+00,2.605099124420119927e-01
