# q/kF, int w**1 * S(q; w) dw
1.000000000000000021e-02,1.391049204642379085e-12
2.000000000000000042e-02,1.579052376022195439e-13
2.999999999999999889e-02,8.251298992892281019e-14
4.000000000000000083e-02,6.160215171609489380e-14
5.000000000000000278e-02,8.363782202685581495e-14
6.000000000000000472e-02,1.764093699530873405e-13
6.999999999999999278e-02,4.040020616433209114e-13
8.000000000000000167e-02,8.770365885423454320e-13
8.999999999999999667e-02,1.769659443753438410e-12
9.999999999999999167e-02,3.342234463670640844e-12
1.100000000000000006e-01,5.986180821805379115e-12
1.199999999999999956e-01,1.079088921914427801e-11
1.300000000000000044e-01,1.718292741149285620e-11
1.400000000000000133e-01,2.583682763966328019e-11
1.500000000000000222e-01,3.936214410450490365e-11
1.600000000000000033e-01,5.858468100461871856e-11
1.700000000000000122e-01,8.552137414512294221e-11
1.800000000000000211e-01,1.235657529934132548e-10
1.900000000000000022e-01,1.700926187580702442e-10
2.000000000000000111e-01,2.343090878922466261e-10
2.100000000000000200e-01,3.185527978174119005e-10
2.200000000000000011e-01,4.285557516240317240e-10
2.300000000000000100e-01,5.652600457045196167e-10
2.400000000000000189e-01,7.408515409936162955e-10
2.500000000000000000e-01,1.063834648233373894e-09
2.600000000000000089e-01,1.236185100496748984e-09
2.700000000000000178e-01,1.576345459603126891e-09
2.800000000000000266e-01,5.561941715949696623e-09
2.900000000000000355e-01,2.505882127627119308e-09
2.999999999999999889e-01,3.127433536174135269e-09
3.099999999999999978e-01,3.880180624189279380e-09
3.200000000000000067e-01,4.781933592973518173e-09
3.300000000000000155e-01,5.872101979869685293e-09
3.400000000000000244e-01,7.154497566317689891e-09
3.500000000000000333e-01,8.687896460016183482e-09
3.600000000000000422e-01,1.050136151707801919e-08
3.699999999999999956e-01,1.263943277042884454e-08
3.800000000000000044e-01,1.515298440031491271e-08
3.900000000000000133e-01,1.809574111710843821e-08
4.000000000000000222e-01,2.153473664259831859e-08
4.100000000000000311e-01,2.553580882235757668e-08
4.200000000000000400e-01,3.018774013827822978e-08
4.299999999999999933e-01,3.557273475215265578e-08
4.400000000000000022e-01,4.179972566806557145e-08
4.500000000000000111e-01,4.898023737432017003e-08
4.600000000000000200e-01,5.723512678533121912e-08
4.700000000000000289e-01,6.758393852420021451e-08
4.800000000000000377e-01,7.757843397094399814e-08
4.899999999999999911e-01,9.000312297563438076e-08
5.000000000000000000e-01,1.041856036965209562e-07
5.100000000000000089e-01,1.203404395570421207e-07
5.200000000000000178e-01,1.387218613721774775e-07
5.300000000000000266e-01,1.595983934102917684e-07
5.400000000000000355e-01,1.832659208020214269e-07
5.500000000000000444e-01,2.100846590330471479e-07
5.600000000000000533e-01,2.403783767963001447e-07
5.700000000000000622e-01,2.746130890968859882e-07
5.800000000000000711e-01,3.132155934429511645e-07
5.899999999999999689e-01,3.567074261647159353e-07
5.999999999999999778e-01,4.055863862252837518e-07
6.099999999999999867e-01,4.605483385002022682e-07
6.199999999999999956e-01,5.222500644684524997e-07
6.300000000000000044e-01,5.914452587776018908e-07
6.400000000000000133e-01,6.689103272911261180e-07
6.500000000000000222e-01,7.556365284920174710e-07
6.600000000000000311e-01,8.526158082957748604e-07
