# q/kF, int w**0 * S(q; w) dw
1.439999999999999947e+00,4.127159394324177444e-01
1.449999999999999956e+00,4.220318541839076509e-01
1.459999999999999964e+00,4.315815726953020071e-01
1.469999999999999751e+00,4.413736955279092267e-01
1.479999999999999982e+00,4.514171091167120675e-01
1.489999999999999991e+00,4.617213945933976715e-01
1.500000000000000000e+00,4.722968871615054742e-01
1.510000000000000009e+00,4.831543360207541382e-01
1.520000000000000018e+00,4.943048483068913646e-01
1.530000000000000249e+00,5.057601834518449246e-01
1.540000000000000036e+00,5.175330441498264822e-01
1.550000000000000044e+00,5.296370873854930883e-01
1.560000000000000053e+00,5.420867828052433612e-01
1.570000000000000062e+00,5.548973970307249370e-01
1.580000000000000071e+00,5.680851104918595018e-01
1.590000000000000302e+00,5.816671844117126122e-01
1.600000000000000089e+00,5.956621235130482583e-01
1.610000000000000098e+00,6.100898017564098108e-01
1.620000000000000107e+00,6.249715659195412831e-01
1.630000000000000115e+00,6.403303550186267845e-01
1.640000000000000124e+00,6.561908533291664902e-01
1.650000000000000355e+00,6.725796763775635512e-01
1.660000000000000142e+00,6.895255869475406252e-01
1.670000000000000151e+00,7.070597415177720668e-01
1.679999999999999938e+00,7.252159707142633582e-01
1.689999999999999947e+00,7.440310997207598698e-01
1.699999999999999956e+00,7.635453165593570901e-01
1.709999999999999964e+00,7.838025980099966317e-01
1.719999999999999751e+00,8.048512049411028491e-01
1.729999999999999982e+00,8.267442612827001769e-01
1.739999999999999991e+00,8.495404340781718133e-01
1.750000000000000000e+00,8.733047362590199425e-01
1.760000000000000009e+00,8.981094792810612182e-01
1.770000000000000018e+00,9.240354099239076469e-01
1.780000000000000249e+00,9.511730749438906951e-01
1.790000000000000036e+00,9.796244696929355955e-01
1.800000000000000044e+00,1.009505043431702109e+00
1.810000000000000053e+00,1.040946156479737761e+00
1.820000000000000062e+00,1.074098114710037688e+00
1.830000000000000071e+00,1.109133948151682647e+00
1.840000000000000302e+00,1.146254156910442523e+00
1.850000000000000089e+00,1.185692725667264691e+00
1.860000000000000098e+00,1.227724816741589287e+00
1.870000000000000107e+00,1.272676703357078720e+00
1.880000000000000115e+00,1.320938717153739672e+00
1.890000000000000124e+00,1.372982285689356541e+00
1.900000000000000355e+00,1.429382552795161354e+00
1.910000000000000142e+00,1.490848580322115202e+00
1.920000000000000151e+00,1.558263611346712540e+00
1.929999999999999938e+00,1.632737947259872868e+00
1.939999999999999947e+00,1.715675223581490050e+00
1.949999999999999956e+00,1.808844718455064671e+00
1.959999999999999964e+00,1.914423734553848844e+00
1.969999999999999751e+00,2.034882632101693734e+00
1.979999999999999982e+00,2.172322384722435551e+00
1.989999999999999991e+00,2.326362047517464227e+00
2.000000000000000000e+00,2.491321017981743324e+00
2.009999999999999787e+00,2.671025446589382124e+00
2.020000000000000018e+00,2.880855214012514320e+00
2.029999999999999805e+00,3.131427357472738038e+00
2.040000000000000036e+00,3.437205731966704203e+00
2.049999999999999822e+00,3.821206955080374001e+00
2.059999999999999609e+00,4.323242901225991197e+00
2.069999999999999840e+00,5.020870216090809635e+00
2.079999999999999627e+00,6.097976881284874473e+00
2.089999999999999858e+00,8.205416452939481076e+00
2.099999999999999645e+00,1.472544501423360686e+01
2.109999999999999876e+00,5.405351149730749150e+00
2.119999999999999662e+00,4.331143972418544763e+00
2.129999999999999893e+00,4.080809719025798366e+00
2.139999999999999680e+00,4.258395349519879858e+00
2.149999999999999911e+00,5.053811788231318936e+00
2.159999999999999698e+00,8.208963627773357530e+00
2.169999999999999929e+00,1.301300788277656473e+01
2.179999999999999716e+00,8.703003108457414427e+00
2.189999999999999947e+00,7.112958943621186414e+00
